x,y,z,x,y,z
-4.593353042,24.27349897,-8.063926627,6.583595276,0.004900268279,-3.375674248
-3.200232212,30.37769145,-2.824206357,4.783446789,1.264877915,-2.767368078
0.9169476717,36.05689912,0.4427870219,2.820711851,3.032448292,-1.712841392
7.049127069,39.56377093,2.578056006,1.696181059,3.245104313,-0.2956968248
13.52038995,40.26230265,5.862177046,1.273167014,2.470725536,1.720217466
17.8728323,38.19458919,12.61572425,0.1706115454,1.254687071,4.096090317
16.82702444,35.81196808,16.80129729,-2.096332312,0.3688078225,6.197318554
9.179410082,34.83694348,13.91838974,-4.039765835,-0.4122945666,7.476724625
0.008535773155,32.39324217,5.212567475,-4.030615807,-0.7525377274,8.074254036
-7.075491344,30.20956659,5.654892724,-4.760874271,-0.7501444221,9.342625618
-29.80559416,24.85994978,1.555240899,-6.275294304,-0.9372055531,9.932638168
-60.98143857,11.060225,-10.88732576,-5.803387165,-0.7937406301,8.192019463
-68.66596548,-1.236346214,-16.89766508,-4.182751179,0.3974494636,5.128525734
-58.70674591,-10.83733394,-11.35403025,-4.295931816,1.180988669,2.581323147
-30.74800945,-13.86039348,-6.028402212,-5.949357986,2.473253965,1.771550298
-18.17682343,-13.25205232,-11.13247424,-5.555899143,1.713468075,0.7395087481
-7.658566542,-14.11094995,-13.28452017,-4.088708878,0.3378693759,-0.5877806544
3.735650755,-15.4197611,-8.119480172,-3.744434595,-0.3099383712,-1.657616496
11.90440086,-13.91357094,-3.328092868,-4.301482201,-0.4203827977,-2.473362446
18.20631139,-11.23228369,-2.604713712,-4.63624382,-0.1901148409,-2.719456673
21.37444575,-9.331190543,-3.454077209,-4.434672356,-0.0566101186,-2.457759857
19.68924108,-9.872518603,-5.918006485,-3.570639849,0.5222346783,-2.184369564
16.28425612,-10.41675524,-7.482900179,-2.51039052,1.455424666,-2.120830059
11.81724047,-9.74577263,-10.68017588,-1.054597735,1.142414212,-2.533956051
7.645596001,-8.669434607,-15.10692382,1.443630338,0.4945432246,-2.900050879
