accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeY
1.3304094,7.0612197,7.223932,-0.44295332,0.3065014,0.03199404
1.6007984,6.7645097,7.2119675,0.019471316,-0.10399973,-0.029092435
1.6510476,7.1210403,6.9990063,0.024358233,0.0016798781,-0.015042545
1.253839,7.23111,6.6257257,0.06772963,0.069485866,-0.060857404
1.1796615,7.183254,6.6855464,0.023136504,0.13912445,0.04176788
1.4141582,7.1018977,6.472585,-0.006185006,0.14401138,0.018555017
1.3064811,7.2095747,6.8458657,-0.17661628,0.26618433,-0.056581352
1.2634103,7.1952176,7.3435726,-0.06666062,0.1763872,-0.007101303
1.2753744,6.9822564,7.2287173,-0.014737112,0.28695372,-0.016264275
1.1102697,7.314859,7.2119675,0.1514181,0.28145593,-0.087124586
1.1772687,7.7383885,7.0229344,0.24976733,0.12873976,-0.15309799
1.3830515,7.769495,6.8051877,0.25465426,0.008399391,-0.20929754
1.6199409,7.9776707,6.8410797,0.4825068,-0.16081016,-0.41027206
1.0097711,7.726424,6.113662,0.5521454,-0.251829,-0.54221886
0.55513483,7.989635,6.6305118,0.70058554,-0.8034399,-0.33696827
1.1222339,7.798209,5.5800624,1.1587341,-1.3116794,-0.2135736
0.68195444,7.891529,4.034299,0.5466476,-0.7221949,-0.34552038
0.74177504,7.628319,5.0847483,0.10438152,-0.43142325,-0.32047492
0.76570326,8.097312,5.063213,-0.2749655,-0.30497423,-0.32414013
-0.21296121,8.293523,6.245267,0.0017562362,-0.4411971,-0.24167338
0.6556334,8.489735,5.3216376,0.32062766,-0.672104,-0.05413789
0.41156548,8.334201,5.2019963,-0.11919499,0.06582068,-0.2520581
-0.3924229,8.078169,5.9270215,0.056734066,-0.08078687,-0.20868668
-0.27996024,8.073383,5.168497,0.11110103,0.03649917,0.010613776
0.28235307,8.166703,5.2666025,0.11598795,0.10308343,0.042378742
0.63170516,8.30788,4.618148,0.13797908,0.09758565,0.13645191
1.2658032,8.611769,4.476971,-0.0037415468,0.054825112,0.112017326
1.3830515,8.781659,4.362116,-7.64E-05,-0.008093959,0.018555017
0.85184485,8.702696,4.914858,-0.1381318,-0.044745844,-0.043142326
0.8207382,8.52802,5.5537415,-0.06788235,-0.03252855,-0.03886627
0.58624154,8.444271,5.3407803,-3.98E-02,0.004123337,-0.028481571
0.5096712,8.477771,5.302495,0.018249584,0.002290743,-0.0028252497
0.849452,8.539984,5.070391,0.08972076,-0.019089524,0.017944153
0.7704889,8.513663,4.7018967,0.057344932,-0.047189303,0.005726857
0.77766734,8.444271,4.692325,-0.022678355,0.021838415,0.009392046
0.89013004,8.49452,4.7832522,-0.111253746,0.032833982,0.009392046
0.701097,8.516056,4.7545385,-0.102090776,-0.09666935,0.049098257
1.0671989,8.523234,5.204389,-0.18577924,-0.09483676,0.042989608
0.8542377,8.446664,5.623133,-0.10575596,0.030390523,-0.01809687
0.6580262,8.439486,5.393422,0.019471316,0.008399391,-0.021762058
0.76331043,8.377272,5.1062837,0.050014555,-0.044134982,0.0045051277
0.91166544,8.444271,5.2402816,-0.014126248,-0.003817905,-0.0064904382
0.8997013,8.420342,5.0847483,0.061620984,-0.0056504994,-9.93E-04
0.80159557,8.444271,5.0799623,-0.014126248,0.04444041,-0.007101303
0.6723832,8.420342,5.1589255,0.009697478,0.009010255,0.008170316
0.9092726,8.382058,5.0536413,0.014584397,0.017562363,-3.82E-04
0.6939186,8.422736,5.218746,-0.017791437,-0.0129808765,0.019776747
0.85184485,8.525627,5.2809596,0.028023422,0.018784093,-0.013209951
0.77766734,8.425129,5.1876397,0.09338595,-0.026419902,-2.12E-02
0.8781659,8.41795,4.8358946,0.055512335,-0.01847866,0.018555017
0.8279166,8.415557,4.979464,-0.014737112,0.05177079,-0.027870705
0.72502524,8.477771,5.1062837,0.013362667,-0.003817905,-0.0058795735
0.7800602,8.5112705,5.1206403,-0.015958842,0.0010690134,2.29E-04
