x,y,z,x,y,z
0.2088110927,0.009666823012,-0.001533200917,0.08773304522,-0.1275818348,0.1922034621
0.3233499106,-0.400567298,-0.1807189707,0.03291390836,-0.07872085273,0.1622430831
0.2622743874,-0.5910170969,-0.246535551,-0.005254514515,-0.09516081959,0.1241556108
0.2245177804,-0.5455211279,-0.272197231,-0.05135339499,-0.07829865068,0.07700169086
0.1805482903,-0.4722355269,-0.1810977409,-0.05435264483,-0.0334675312,0.02225615457
0.07013152085,-0.4276227705,-0.1185053834,-0.01895055175,-0.01249879226,-0.01237377711
0.03637655076,-0.368502473,-0.02719371187,0.007599031553,0.005209363997,-0.04136015475
0.005218611431,-0.2498673257,0.06327332551,0.01508126315,0.01928780042,-0.08500925452
-0.08614800515,-0.07729366756,0.07367839967,0.03862973303,0.03717918321,-0.1223275959
-0.1408528243,0.07555880659,0.1019546461,0.03426422551,0.0547866486,-0.1337043345
-0.0864911195,-0.05418254883,0.06039806234,-0.01332166977,0.04574361816,-0.1353331208
0.03219663473,-0.1672001485,0.03899111717,-0.0616748482,0.04817626998,-0.1189558804
0.1258855568,-0.2212584864,-0.01498012699,-0.07094664127,0.04256472364,-0.1080161408
0.06612579234,-0.1111599891,0.01219429566,-0.03564913198,0.02729374915,-0.08428431302
-0.1430067874,0.2285632564,0.1395049168,0.03007794917,0.003558325581,-0.06337396801
-0.3516021916,0.5082908829,0.3048696665,0.06381916255,-0.004237134475,-0.05683418736
-0.399210915,0.4673258353,0.3183177616,0.05158007145,-0.01582215168,-0.06251896918
-0.2223240698,0.3932195656,0.2670680514,0.06394053996,-0.02884491347,-0.04855277389
-0.03393324926,0.4160796322,0.2158463982,0.04306774214,-0.02881322242,-0.05424155295
0.1189548807,0.1039870287,-0.001089548802,0.00348024047,-0.03198724985,-0.05996368453
0.2474433135,-0.03952829279,-0.04790682956,-0.01442925259,-0.002548933029,-0.06047954038
0.1007376715,-0.01084288105,-0.0430775097,-0.05418729037,0.01327385008,-0.06849632412
-0.006523848811,-0.06739858875,0.03391688265,-0.08758013695,0.01204347052,-0.07187774032
0.03865443256,-0.002272036585,0.1529991891,-0.1096399501,-0.00902055949,-0.04685226455
0.03853343653,-0.07625555668,0.1526116511,-0.1285726279,-0.0060569942,-0.02832731977
-0.0296136325,-0.1100955747,0.133007956,-0.1387452483,-0.01323414035,-0.04211166501
-0.01529986046,0.01313479138,0.08801379902,-0.140651539,-0.0275355801,-0.02392840199
0.05928045649,0.1327072195,0.1455348446,-0.1491102427,-0.0436100103,0.0002116810065
-0.01007014312,0.1888710053,0.2144552361,-0.1594126821,-0.06344230473,0.01945754699
-0.0391039299,0.2731470791,0.3110667676,-0.1583700478,-0.0638955757,0.02687296458
-0.05348141482,0.2014537157,0.3719511522,-0.1711915731,-0.04949053749,0.04168732837
0.07078384728,0.1332245214,0.3683575116,-0.2063409537,-0.00984403491,0.06273858249
0.08803308824,-0.04223462914,0.352546779,-0.3170382082,0.2848994434,0.008139782585
-0.6683914285,-0.5105938992,-0.1185270107,-0.5324295163,0.6337737441,-0.1035695449
-0.1022264488,-0.522292228,-0.8382108196,-0.6494480371,1.386042953,-0.1929388344
1.743119094,-0.940570247,-2.099991919,-0.2379717976,0.2399602532,-0.1965925545
1.048556282,-1.079131453,2.099473448,0.08154174685,0.1652053297,-0.1007752195
1.01960842,1.273238898,3.19247093,0.1229879931,0.4743895531,-0.1488793641
0.6635171005,1.051421024,1.222124797,0.05932647735,0.6006708741,-0.2054871768
0.0733212568,-0.1034241341,0.7868161479,-0.03194339573,0.8776413202,-0.1523978412
0.4612041376,-0.9788444481,0.4897095166,-0.1065641046,1.151525617,-0.1258232147
0.6343687474,-1.559788479,0.3970096056,-0.1909314841,1.319156766,-0.1513697058
0.9896925899,-1.150682778,0.2685685191,-0.2782298923,1.41827023,-0.1671460122
0.8333516891,-0.9542021743,0.004948562318,-0.4013828039,1.620621324,-0.1206294522
0.8603753051,-0.779642603,-0.3170546098,-0.5503968,1.824891925,0.02473599464
0.7645020247,-0.9423749584,-0.6496095711,-0.654987216,1.969450116,0.141958639
-0.07216974868,-1.685656793,-0.7278279523,-0.6341605186,2.150905132,0.1466439515
-1.154413781,-1.998882492,-0.7384171509,-0.4419544041,2.254152298,0.04837176949
-2.113347075,-2.122814284,-0.4851353405,-0.1490122825,2.450507879,-0.05991555378
-2.442892918,-2.403048107,-0.2456502926,0.04390468076,2.604462147,-0.2185428739
-2.752656786,-2.210552481,0.2703366978,0.07985948771,2.826307774,-0.4002492726
-2.53348329,-1.948209705,0.352954483,0.005268526264,3.107383013,-0.5450639725
-1.812269787,-1.68648506,0.1303831605,-0.08361633867,3.284394503,-0.6180254817
-1.182995148,-1.893667967,0.0881762961,-0.1683344692,3.448678732,-0.6713659167
-1.09998018,-2.292814585,-0.5073129778,-0.2491419762,3.821315765,-0.7118441463
-1.516236922,-2.786609033,-1.78759741,-0.2453769296,3.909662724,-0.7856276631
-1.306304717,-2.703070333,-1.950235073,-0.182222724,3.993700266,-0.8479613662
-0.6628828942,-2.281770628,-2.022260883,0.04016170278,4.029766083,-0.8583731055
-0.1214466975,-1.881562519,-2.024449772,0.4199921191,4.046746731,-0.8207543492
0.2043435919,-1.553403454,-2.090694368,0.7227008939,3.966960907,-0.7914544344
0.06017652854,-1.017472577,-1.362419987,0.767351985,3.954228163,-0.8565849662
-0.121245622,0.2140121685,-0.6926677916,0.8782973886,3.003038645,-0.9585980773
0.05829319901,1.675548071,1.670959867,1.179901719,0.746224463,-0.954734087
1.126603983,3.469739473,5.303667549,1.325063944,-0.4824454188,-0.8516982794
2.649925311,5.070439224,4.694215801,1.093404055,-0.2835789323,-0.7816904187
2.098772022,3.442965448,1.079071686,0.8432044983,-0.08069762588,-0.8604344726
1.262830901,0.5992950959,-0.91225966,0.82234478,0.05330624804,-0.9563822746
1.377982882,0.1143850886,-2.071588832,0.8015960455,0.2224776447,-0.7801052332
2.27619955,1.637664915,-1.789947919,0.7067552805,0.1429702938,-0.5084753036
1.922026047,2.559006438,-0.1804617811,0.5021153092,-0.03475226462,-0.2591273189
0.686735479,2.529832366,1.252220221,0.157534793,-0.2072252333,-0.09457910806
-0.4436953689,2.256402963,1.558605992,-0.272796303,-0.3735585213,-0.0409680903
-1.036695749,1.720836535,1.315142103,-0.6415048242,-0.4511561096,-0.07886140794
-0.8440671444,0.2814537196,0.7926935155,-0.856082499,-0.3556996882,-0.3401644528
-1.177329377,-1.738082269,0.09296367651,-0.9947285056,-0.1663811654,-0.7312546968
-1.031518054,-2.337229481,-0.3179728937,-1.104767799,0.1198516935,-1.125301003
-0.20676059,-2.22872702,-0.5696094211,-1.099385023,0.2842217386,-1.353032708
0.07197568741,-1.255636021,-0.7080944933,-0.9565947056,0.05538346246,-1.343943477
0.09425298567,0.08287818969,-0.1696072096,-0.6506976485,-0.414482832,-1.198176384
0.1300140349,1.239727673,0.7523205886,-0.4575713873,-0.6764572859,-1.109883904
0.2799924149,1.334125621,1.342557933,-0.4987750351,-0.4623042047,-1.016752005
0.6856997062,0.624437136,1.050718429,-0.5869743228,-0.1388111711,-0.9518039227
0.9533324057,-0.1723059472,0.155463022,-0.5764252543,-0.07014661282,-0.9424863458
0.9334598305,-0.7371522455,-0.7852443685,-0.4747388065,-0.21119681,-1.019036531
0.6154173787,-1.118476791,-1.081332909,-0.273827523,-0.2350850999,-1.178778052
0.2494353641,-1.35211662,-0.9640244801,0.004437659867,-0.08930205554,-1.322567463
-0.102298345,-1.532908656,-0.8877694349,0.2661965787,0.1244078353,-1.370135546
-0.2784714889,-1.81548758,-0.7867582802,0.3824889362,0.3327614963,-1.32333529
0.03095803284,-2.371293078,-0.5506909318,0.4572308362,0.6152597666,-1.295265794
0.6176262869,-3.236045868,-0.4309492846,0.5984862447,0.6084451675,-1.183803797
1.898919312,-2.854285854,-0.2654116625,0.4151949883,0.4245951772,-1.090830207
2.876509376,-2.147771908,0.1933890672,-0.2405992299,0.1119731441,-1.118851304
2.740335649,-2.287424708,1.345418145,-0.7783117294,-0.6737123728,-1.221103907
1.859943392,-1.303732236,2.670574131,-0.959882617,-1.500884891,-1.256628633
1.093412492,0.367875281,2.648476865,-0.9399427176,-1.449481606,-1.367556572
-0.2473527126,-0.4607867889,1.581103655,-0.4750745595,-0.5262235403,-1.4177562
-1.210883856,-0.6648398735,-0.4675999761,0.2792961597,0.522187829,-1.612549901
-0.6679927846,-2.002856656,-2.862477344,0.9358343482,0.8917508721,-1.826072693
-0.2082119578,-3.068921123,-3.077399028,1.259754062,0.5633122325,-1.807657719
0.03659223934,-2.561784086,-2.263433592,1.314378619,0.3629110754,-1.862453103
0.3855143981,-2.965277793,-1.474867824,1.254229784,0.07445690781,-1.976248622
0.5300584781,-3.83983243,-0.1558401117,1.135347009,-0.1608654112,-2.062028408
0.8135720529,-4.016550348,1.305007078,1.076144934,0.1753075421,-2.107029915
0.9092945266,-2.776130601,1.987192639,1.019934416,0.5279320478,-2.218069315
0.8337228605,-1.593840387,1.604616778,1.023645759,0.4921471477,-2.379013777
