lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-1.5924234,0.80518484,9.302696,-0.037414394,0.20325942,-0.26800925
-0.96789676,0.024526432,9.797412,-0.2507528,0.45477578,0.033291176
-3.3870404,-1.8311075,7.6749787,-0.1227803,1.065623,-0.13408098
-4.2394834,-2.6189444,3.9254255,-0.2325801,4.4052777,-0.6018373
-5.435895,-4.749753,9.512667,-0.046729814,4.116805,-2.4939365
-14.034503,0.99960166,9.180662,1.6721944,1.6387504,-2.4992816
-10.305887,-1.6468602,1.0522437,0.82647634,-0.15607147,-0.4614951
-7.8921275,-5.784649,2.9748766,0.6456655,-0.19486028,0.17348062
-8.447861,-4.0827537,3.2853456,0.4495836,0.10628742,0.09605573
-9.401401,-3.2237303,5.1343994,0.05222744,0.19531842,-0.30740887
-9.179466,-1.7844474,3.0646076,0.07437065,0.75699246,0.1123959
-10.372288,-4.9698925,0.9529416,0.12613995,0.5557183,0.34665582
-8.64467,-8.322835,4.0516467,-0.28786176,-0.69056284,-1.1711469
-6.4163537,-2.1661026,1.3537394,-1.8789662,-1.2126845,0.14843589
-2.900101,-2.411367,0.8596215,-0.48180577,1.6344745,-2.690782
-11.170295,-9.689137,-1.6588243,1.5567442,1.6144693,-1.1674818
-8.181061,-8.652447,0.5724828,-0.0943759,-0.25762483,-0.6927008
-5.056034,-7.737192,0.083748795,-0.92222667,-0.41415444,-1.7129685
-3.952943,-7.428518,0.7262217,-1.3012574,-1.6784556,0.8842014
-2.3958137,-5.4257255,-0.23928227,0.21669807,1.2297883,0.56029963
-2.2660031,-3.6335013,-2.2660031,0.8138013,2.7976804,-1.0474503
-4.9453664,-9.355937,1.5266209,0.794865,-0.27732465,-0.7660025
-5.1846485,-5.8354964,-0.7070791,0.018478129,-0.7553126,-1.7035003
-2.053042,-7.4063845,-0.22313072,-0.4550812,0.8776348,0.28984702
-1.8843478,-12.943376,-0.6329016,-0.46500748,1.2830846,-0.014965758
-3.1016963,-9.447462,-1.7934206,-1.1543486,1.8065808,-1.3287455
-3.5066817,-9.94816,-3.0640094,-0.6097783,0.34146363,0.4300365
-3.591627,-3.9547377,-8.047063,-0.41720867,1.2678134,1.1961917
5.226523,-11.1834545,-0.5371887,1.2106993,-3.5094702,-1.5584241
-2.1678972,-6.5198436,-0.6580262,1.7151064,-3.1664796,-0.8612946
-6.622735,-4.6372905,-2.7445676,1.3876922,-1.1708415,-0.41003123
-0.14476576,-8.733205,1.1497513,1.6129422,-1.9780761,-0.9265026
-6.9505515,-12.517453,-5.7433724,-0.68231636,-0.38712445,-0.52181625
-6.5850477,-9.282357,1.396212,-2.2973967,2.7485073,1.7409147
-4.109673,-20.537598,-3.4761732,-3.7301388,2.6422198,2.1112409
2.225325,-0.73340017,-2.2594228,-0.5531222,0.742943,0.25731942
-1.4757733,2.6865416,-7.606185,0.63894624,-2.9410768,-1.2520841
-5.7248282,-19.600208,-2.8402805,2.3754323,-2.9167957,-3.6377482
-28.185059,-29.2379,-1.302892,5.472428,-1.3617313,-1.57171
-7.615158,-0.5880362,-7.895118,-0.63955706,1.5455962,0.44897273
-4.0552363,-9.19143,-10.6684,-5.139669,4.8770046,1.2394091
-10.428519,-11.990435,-2.9892337,-3.300866,5.4618907,2.477291
12.032907,1.7395821,13.209578,0.67513895,-3.7012763,-1.5442219
-9.982258,-9.110074,20.49692,-3.2631462,-8.800782,-0.43522868
-4.54397,-16.521244,-6.3535423,4.5654726,-1.3933426,-6.1202316
8.988638,-3.0915267,-12.79861,3.4355576,1.7618362,-2.1355221
3.6167514,-4.8975096,-0.526421,-3.0313296,1.5995035,1.6724998
-11.712867,-59.55257,-5.1906304,-6.2744703,-4.0233455,2.3277862
6.6311097,4.5152564,6.245267,0.4301892,0.93612343,-0.08490777
-14.34557,-12.799209,-20.737398,-1.0943328,-0.25716668,-0.40606073
4.3651066,-11.078171,-3.4672,4.3767204,-0.53357506,-2.776148
-13.140783,-19.196419,-11.160125,5.568178,3.5195491,-2.887933
-2.4586253,-6.3595243,-2.7469604,-2.4950056,0.2522799,2.6115248
-7.459625,-42.68437,-4.0013976,-7.432331,-0.054212693,1.7852011
-1.7413766,7.179066,8.6757765,-1.8960699,2.725295,1.9763963
-0.6837491,0.6023931,1.8837496,2.1993556,-1.979756,-2.9233623
13.229319,-6.8039913,15.270994,3.2947574,-2.6258798,-0.22265382
-6.509674,-32.1374,4.4721856,5.058884,2.6025147,-4.71513
-4.953741,7.091728,-3.566502,-1.2384928,-0.77333266,-0.9394831
0.083748795,-13.144373,-0.91884387,-4.2792907,1.2392564,1.4231215
0.9696914,-28.088148,-3.2482567,-4.587463,0.40132666,3.5963633
15.184255,6.349953,12.804592,0.19989976,0.7950177,-2.8948052
-12.480963,-20.595623,-21.777079,-1.9192821,-6.012417,1.3345486
-12.993625,-22.974686,-4.5882373,3.9114077,-0.34971005,-4.1997275
-0.7507481,-5.9587264,-15.218352,4.1134453,-0.6760552,-2.043895
-5.0333023,3.083152,-0.8769695,-2.2289817,0.2843494,1.9873916
-12.56531,-35.400017,-12.984054,-6.678546,0.04795151,4.000897
3.723232,1.8711873,1.5499508,-1.9562384,0.87335885,1.0850174
-0.4336991,0.7435696,-7.4356966,1.2948434,-0.55388576,-2.7863798
-5.853442,-22.167109,-9.195618,2.3619936,-0.84358007,-3.9333982
-34.49433,-34.50271,-26.960531,6.01822,2.9358847,-5.2855086
1.3304094,-13.407583,-3.7160535,-4.6624446,3.9691327,2.3403087
8.01117,-56.736217,-6.611369,-7.61696,-1.5391824,6.4227533
4.9064827,-1.7282162,8.078169,4.241418,-4.2262993,-4.082445
31.106695,-14.578272,-17.082361,-1.0390512,1.157861,-4.705051
-5.793622,-51.402615,2.6243281,7.020773,2.9074802,-0.02535016
10.374083,-7.3190465,-2.4586253,-4.0128083,3.587506,1.7456487
-4.683352,-52.42495,8.055437,-7.2096777,-3.5670426,3.44976
17.103897,2.498107,19.567905,3.3582854,-1.2409362,-2.2670069
-4.136592,-3.8177485,27.058039,4.8472257,-5.3644605,-1.7442744
-10.584651,-25.773691,-17.59622,6.075029,2.489508,-7.6728525
-9.818948,17.10928,-8.690134,-0.53372777,1.1671764,-1.9386765
-6.161518,-16.778473,-4.5942197,-5.539774,1.5969075,2.881672
