Acceleration x,Acceleration y,Acceleration z,Gyro x,Gyro y,Gyro z
-3.372452234,3.009571693,-3.101618693,2.206473112,-0.3033019602,-0.9382950664
-5.599398216,2.220157637,-1.410133924,2.566268682,-0.5679777861,-1.404882669
-5.586790079,0.9547773438,0.3867167596,2.789724588,-1.795268655,-1.785448551
-4.641345504,-0.07722177137,1.480263692,2.71731019,-3.043941021,-2.561783791
-2.144817149,0.8982894407,3.530925471,2.322829485,-4.070661068,-3.265302181
1.657028518,1.54420045,5.190435722,1.703910112,-5.032034397,-3.253985405
5.924863511,1.561332202,5.016046539,1.242662191,-5.673868656,-2.383984566
9.159185624,1.224676819,2.556488318,1.073295832,-5.75500679,-1.205636144
9.792937701,1.823276919,1.647603541,-0.04137768596,-1.663161635,-0.2038310617
7.860915161,2.483068861,2.317833291,-0.384714812,2.720863819,0.9080178738
3.625555181,3.043192807,4.317365771,-1.474793792,4.403053761,1.62784183
1.598171694,1.751220567,7.579243415,-2.584451199,5.762087822,1.754965186
1.264639266,1.574312095,7.941600224,-3.720966816,6.277883053,1.769875526
2.393653817,0.4037529423,6.175851366,-4.954831123,2.752315521,2.22759676
4.389829242,0.0981432711,0.5762871453,-5.450374603,0.2631395757,3.20848918
0.9515570666,2.383843055,3.160027042,-5.255374908,-0.6206355095,3.794294834
-1.481276668,4.329148563,0.831586433,-4.486737728,-1.173268199,4.473366737
-0.744604169,3.659468848,-0.6475970623,-3.119600773,-1.571196914,5.305747032
2.780399072,2.982469751,-1.751706305,-1.556413174,-2.914200783,5.930251122
6.23878976,2.968396802,-1.8337837,-0.02768672816,-4.79114151,6.061756134
5.920996315,3.199058492,0.2978594955,1.628297925,-4.594963074,5.457211971
5.354457825,5.553018158,3.692681382,3.026389837,-5.028224945,4.511445522
1.171596386,4.979855282,0.9332488181,3.477799416,-5.578692436,3.924419403
2.223692533,3.705876672,3.781965347,3.205018282,-5.689957142,4.07001543
4.005642878,4.409693926,5.425785278,2.648599148,-4.880717278,4.474050045
4.569324516,4.73623971,5.974403495,1.957978487,-3.889329195,5.055076122
5.170086177,4.63769195,5.865474918,1.102193356,-2.92343545,5.639583588
4.905627432,5.013187643,5.106687764,0.8822519183,-2.939448833,5.787354469
4.682454052,4.730100184,3.177164055,1.022693753,-3.44291091,5.728065491
4.562378642,4.243397448,2.368204465,1.367857814,-4.399550915,5.616477966
4.277811759,3.950792512,1.96789231,1.736831307,-5.222894669,5.517719746
2.89524681,3.562389115,2.314679211,1.818074942,-5.581800461,5.318190575
2.033279267,3.165001324,2.807794152,1.826176286,-5.570327282,5.145120621
2.733437707,2.866604068,1.281076167,2.129527092,-5.444579124,5.121704578
2.906155157,3.581107844,-0.1966775874,2.55304265,-5.63548708,5.134925842
2.486936058,3.657155311,-1.176213525,3.133185148,-5.779418468,5.011550903
1.489947466,3.466418512,-2.24097743,3.857747078,-5.861635685,4.806908131
0.2493172907,3.296150792,-2.457770754,4.47800827,-5.972150326,4.66119957
-1.158771392,2.771856285,-1.661184322,4.775130272,-5.737094402,4.40426302
-3.47275093,2.214115581,-0.5674348535,4.729152203,-4.868073463,3.94679594
-5.599530318,2.165039123,0.6247592075,4.472546101,-3.747242928,3.481120586
-6.660728055,2.48275848,1.412837338,4.190683842,-3.052699327,3.086632252
-7.100750873,3.194761671,1.357163674,4.090426922,-2.912328243,2.856050968
-7.351665078,4.054408662,0.7566701621,4.08113718,-2.740969419,2.777950764
-7.726461098,4.039017032,0.09917173737,4.04696703,-2.038498402,2.662450075
-7.916789024,3.972710622,-0.07399462602,4.007585049,-1.119901538,2.611137867
-8.32757581,3.910021526,0.1217057869,3.936780214,-0.2349154949,2.541722775
-9.290445275,3.586449205,0.8601425192,3.792839766,0.5382550359,2.344364166
-10.3437695,3.25621538,1.911672995,3.557397127,1.079228282,2.060717583
-10.8895902,2.633390063,2.959930879,3.167994976,1.550278306,1.774657249
-10.21199021,1.835406332,4.073689117,2.613111496,2.049451113,1.604149103
-10.1252004,0.5828726612,5.186675493,1.854752302,2.387784243,1.349748611
-12.53870064,-0.3944634282,7.720079288,0.9084468484,2.286430359,0.6970697641
-14.57118262,-1.152680966,11.49291966,-0.09914738685,2.120606184,-0.08509323001
-11.71434474,-0.940648573,12.56184536,-1.025946736,1.823002815,-0.3588927388
-6.633003598,-0.3485962878,9.758145205,-1.603819132,1.831566453,-0.27370435
-4.558004665,0.4568982571,5.502795452,-1.821551561,2.191940308,-0.223748222
-5.386339403,1.324034142,1.300480248,-1.479857326,2.917698383,-0.4413260818
-6.91618341,0.9533879353,-2.379678045,-1.044764638,3.377776861,-0.9820927382
-7.072075398,0.6516361085,-2.447611763,-0.7001420259,3.326788902,-1.603870034
-6.124939509,0.6342071271,-1.71202779,-0.5994393229,3.469678879,-2.016353846
-4.12881713,0.445007036,-0.09267389978,-0.7791893482,3.607239008,-2.200965881
-2.31313315,0.4019108216,0.9357099475,-1.06119585,3.59169364,-2.277287006
-1.338719963,0.6590750264,0.6646306147,-1.150328636,3.43147397,-2.319324493
-0.2627969499,0.800759333,-0.7569722138,-0.9505593181,3.008049488,-2.269446373
0.3445049268,0.9900254751,-2.262662023,-0.5593681335,2.330831289,-2.221814871
0.2862754407,1.106940374,-2.824664038,-0.1859752834,1.974760175,-2.225423098
2.88380947,0.7830395519,1.429762169,-0.7390496731,1.800446987,-1.795576215
1.999527804,2.052547739,3.420687565,-1.002855659,1.769281387,-1.765203238
2.283521856,1.666407172,0.5281564439,-0.99371773,1.817590117,-1.538576484
2.537434073,0.9531830604,-0.03627893561,-0.9600520134,1.854492426,-1.420777678
1.736626809,1.723909513,-0.7740987051,-0.727342844,1.728749752,-1.379344225
1.718205017,1.025549062,-1.548983008,-0.4231972396,1.531129599,-1.372138858
1.629217405,1.24720137,-1.021581766,-0.2360265404,1.434589028,-1.301663041
1.757677196,1.281445585,0.3660053955,-0.2989444435,1.550817966,-1.252807975
1.44613229,0.8526879655,1.956055742,-0.573256731,1.778793812,-1.215441465
1.487602949,0.6650310122,2.801360904,-0.8709058762,1.967707515,-1.179357767
1.138082824,0.5249222842,2.572846747,-1.084152579,2.094251156,-1.222002149
0.8651467573,0.6106998486,2.064797856,-1.22245717,2.21018672,-1.269465327
0.6187538296,0.6781913764,1.539695539,-1.306575298,2.413418531,-1.299283385
0.48626376,0.6169255913,0.9790800104,-1.271582127,2.458324909,-1.320796013
0.7978729639,0.646700698,0.5640957723,-1.14964211,2.327856064,-1.299554586
1.048913425,0.3669900226,0.5626122557,-0.9967284203,2.028551817,-1.266542196
0.7663508675,0.07442249604,0.6804144593,-0.8708016276,1.661621451,-1.350998998
0.2251356201,-0.01596884577,0.7058142734,-0.7687650323,1.384578943,-1.451765537
0.3130336838,0.03820566588,0.242623346,-0.6615565419,1.305166364,-1.441197515
0.5717816506,0.3080301764,-0.2314642386,-0.585634172,1.291020274,-1.430303574
0.395017555,0.4726943766,-0.1551338631,-0.5212435126,1.202738643,-1.47531414
0.9131324973,0.1158652441,0.3121346891,-0.4353207946,0.9557953477,-1.380637765
1.163463933,0.07353446116,0.7370166364,-0.3611831963,0.5291127563,-1.319375515
0.9412895012,-0.06587795506,0.5299807367,-0.2343881577,0.1741467863,-1.321608663
0.7002735905,-0.01457636849,0.2511766548,-0.105965212,-0.1162376404,-1.287631512
0.4108639434,0.3900093714,0.3808960906,-0.1227004826,-0.1624279767,-1.306312919
0.4043471088,0.5664058028,0.6930319488,-0.2801345885,0.1049821526,-1.258049011
0.657975833,0.5981108546,0.7955079884,-0.4393207133,0.4199468493,-1.142006278
0.465099976,0.4911247902,0.5707663361,-0.519713819,0.5856466293,-1.09498632
0.2638239549,0.3854755274,0.2841805142,-0.4745265245,0.5599209666,-1.107079268
0.3675374274,0.131824153,0.1493394976,-0.3613251448,0.3868109584,-1.045299053
0.9021569298,0.289698547,0.2345838319,-0.2751573324,0.1587547213,-0.8671647906
1.260899641,0.4834649231,0.1170329728,-0.173150003,-0.07822027802,-0.757627666
0.96335228,0.3184177149,-0.3976420582,0.02867289633,-0.3148064017,-0.6933176517
0.5025122995,0.1493375979,-0.5100491248,0.2547555566,-0.6813545823,-0.6572262049
0.3772627026,-0.06623524406,-0.134182845,0.4707082212,-1.178696394,-0.6618577838
0.1920540192,-0.4763968844,0.3400339189,0.6575196385,-1.655545831,-0.7009721398
-0.06188800864,-0.5775548272,0.6729074446,0.780777514,-2.124996185,-0.7479516268
-0.1709118625,-0.4215184623,0.9722066175,0.801918447,-2.723965883,-0.8680369854
-0.3587801204,-0.3396994262,1.325645377,0.7566773891,-3.333925962,-0.8574982882
0.1619657549,0.3498944378,1.317291975,0.6442317963,-3.582674026,-0.7341006994
0.5786667339,0.8845089718,1.472864814,0.4205802083,-3.506253242,-0.5704385042
1.129349482,0.7786652824,2.052614082,0.02904840931,-3.0399158,-0.3886844516
1.640453085,0.1580385716,3.040314037,-0.4024403095,-2.298261166,-0.2454072684
0.979855671,-0.005002119136,2.973822334,-0.7420055866,-1.659026027,-0.1687798649
0.05210661933,-0.2061395354,1.921485948,-1.058267117,-1.450986981,-0.2623080909
-0.8357973287,-0.02825520363,1.456787539,-1.142224312,-1.108052731,-0.3333393931
-0.08335282147,-0.03320961116,-0.1726870554,-1.021406293,-1.079962254,-0.3889056444
-0.235895499,0.6927922217,-1.473796542,-0.753407836,-1.159211874,-0.3258790076
1.099352404,0.932418724,-2.032925047,-0.5646134019,-1.093985915,-0.1711855531
1.401307059,0.9087845312,-1.91090318,-0.3570948243,-1.195866823,-0.03930795193
1.046632621,0.6148638365,-2.195320425,-0.1015494987,-1.564885378,0.01050187368
0.4521726899,-0.01461480081,-1.73289756,-0.03305725008,-1.81013608,-0.05453145504
0.06779460233,0.2410877339,-0.5982528934,-0.01254592929,-1.772080421,-0.1012982875
1.063929792,0.2528635119,-0.2194371162,-0.06214996427,-1.688501358,0.008723020554
2.132611163,0.587401829,0.4644914887,-0.1345787197,-1.633105159,0.134436354
2.299185289,0.7512506212,0.5585451524,-0.09556021541,-1.53529954,0.2917130589
2.172857249,0.9076931558,-0.7607409186,0.06832747161,-1.426003456,0.4086815119
1.736785799,1.013468529,-1.978153884,0.3535245955,-1.524540186,0.4851645827
2.013535871,0.7291776134,-2.220748297,0.4898456931,-1.596944571,0.6398282647
1.577202555,0.2656925983,-0.9560185761,0.4186007977,-1.373998284,0.7025169134
0.2049158389,-0.2462254621,-0.5685036518,0.222196728,-0.8808585405,0.6913877726
