x acc,y acc,z acc,x gyr,y gyr,z gyr
-0.10105896,-0.5111999512,-0.7969512939,-0.5831276178,0.337998271,0.3209961355
-0.04264831543,-0.4624938965,-0.8689422607,-0.0007438209141,0.3910990655,0.5528858304
-0.06173706055,-0.4215545654,-0.9434204102,0.7929332852,0.2892341912,0.4934440553
-0.2541351318,-0.4907989502,-0.9434051514,1.354221702,-0.128663972,-0.4968451858
-0.2106628418,-0.3598480225,-0.6896972656,1.331444144,-0.01244867966,-1.650084734
-0.1057128906,-0.1779327393,-0.3759613037,0.5324745774,-0.1281044334,-1.817853451
0.2142791748,-0.1524200439,-0.3977050781,-0.1564740241,0.8989934325,-1.126070023
0.2209472656,-0.1959686279,-0.4806060791,-0.5954010487,3.075143337,-0.649962306
0.1256866455,-0.228515625,-0.5545654297,-1.044651866,4.893618107,-0.4493754208
-0.03567504883,-0.2844238281,-0.4785766602,-1.649937153,5.855423927,-0.5726025105
0.0754699707,-0.1847686768,-0.4653778076,-2.225357533,6.589265347,-0.5482791066
0.3884277344,-0.04379272461,-0.6759796143,-2.253970385,5.11455822,0.3070835173
0.4907226563,0.05020141602,-0.8551940918,-1.314489484,1.747273326,1.839620352
0.3453979492,0.1009979248,-0.943939209,-0.1163764074,0.1085331365,3.222532511
0.07809448242,0.07510375977,-0.9124603271,0.680224359,-0.1849546731,3.781570673
-0.2184448242,0.02394104004,-0.7234039307,0.7485157847,-0.2231806219,3.225173235
-0.2808227539,-0.09036254883,-0.6259613037,0.1000594869,-0.4116866291,2.41840744
0.2662200928,-0.1589660645,-0.2754364014,-2.357451439,-1.356968403,2.595943213
0.04376220703,0.3193969727,-0.5033111572,-4.934031963,-2.622102022,1.737930655
0.3155822754,0.5609588623,-1.23614502,-5.868181229,-2.258555174,1.226528406
0.5111541748,0.7655334473,-1.58001709,-5.889105797,-2.141582727,1.415981412
0.416809082,0.7891082764,-1.759933472,-5.409737587,-1.808204651,1.41410923
0.4817199707,0.6605072021,-1.861602783,-5.174175739,-1.123178363,1.047777295
0.655670166,0.5297698975,-1.915252686,-5.278164864,-0.2459381372,0.9965780377
0.7569274902,0.4129638672,-2.109115601,-4.863823414,0.8216629624,1.133762002
0.6720275879,0.2025756836,-2.079086304,-4.167630672,1.838638663,1.013186574
0.4922943115,-0.04264831543,-1.924026489,-3.473415852,2.334099293,0.2564363182
0.2836761475,-0.1317749023,-1.598800659,-3.158290386,2.517332554,-1.055199504
0.5022888184,-0.01170349121,-1.586349487,-2.846223831,3.217975378,-1.733469963
0.6983184814,0.1873321533,-1.438690186,-3.206136703,5.137702465,-1.896965146
0.6916351318,0.2424316406,-1.444869995,-3.186872005,6.919124603,-2.285234928
0.7897033691,0.1293029785,-1.56968689,-1.535117984,7.446351528,-1.917930603
0.5329742432,0.3466644287,-1.320098877,0.8550307751,6.865131855,-1.828152776
0.3622436523,0.4587097168,-0.7570037842,2.132797956,6.564110279,-2.00859499
1.230010986,0.4722137451,0.202545166,0.7002747655,6.945975304,-1.317735076
0.9188537598,0.6840209961,0.103515625,-0.2190274149,6.996629715,-0.4549789727
0.8257751465,0.4616546631,0.5087738037,-1.220122695,3.266207695,0.9543418884
0.52394104,0.5476531982,0.3772125244,-1.497457147,-0.3353644311,0.8995193839
0.5443267822,0.7341156006,0.03698730469,-0.8610265851,-2.843107224,0.6484450698
0.6588287354,0.5805511475,-0.2082519531,-0.665558815,-2.136160135,0.658018887
-0.0199432373,0.5763702393,-1.579559326,1.773594737,3.812739134,-1.288300395
0.1467132568,0.2591400146,-0.8244781494,2.080564499,4.725750923,-2.947314024
0.2987976074,0.5647277832,-0.1519775391,1.751742721,3.873555899,-1.882450819
0.5752868652,0.8398284912,-0.2963562012,1.274118781,0.4948329031,-0.4235424697
0.5178375244,0.9624938965,-0.1569213867,0.4602336586,0.822302103,0.3055628538
0.7559967041,0.8560028076,-0.01571655273,-0.3902098238,1.135823607,0.6398273706
0.772857666,0.6865997314,-0.08784484863,-0.4007828236,1.328677177,0.5007501841
0.8041992188,0.6598510742,-0.1401062012,0.08698150516,1.46365869,0.4295990467
0.8405303955,0.6213531494,-0.141998291,0.5291871428,1.36713326,0.4378742874
0.8559265137,0.6437683105,-0.07843017578,0.845053494,1.414440513,0.215034008
0.8678741455,0.7388305664,0.006820678711,0.9199303985,1.930606127,-0.6620032787
0.8253631592,0.8046722412,0.04800415039,1.172765613,2.644952059,-1.345131755
0.8849334717,0.8598632813,0.0885925293,1.511328459,2.575954437,-1.348286867
0.8825683594,1.090377808,0.4473571777,0.6316474676,1.193806648,-0.8267221451
