accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
-0.8201774425,-1.131511044,1.853793637,-0.4960128963,-0.5915278792,-0.3406882882
-0.6837007874,-1.108897646,1.470358968,-0.587069869,-0.5322477818,-0.3087519109
-0.6149747495,-1.072571364,1.062421726,-0.6364952326,-0.449175626,-0.2646273971
-0.4859799747,-1.146004265,0.6553589285,-0.6388971806,-0.3822804689,-0.208258912
-0.3311350115,-1.236639644,0.3074807258,-0.5877247453,-0.3666369915,-0.1539836824
-0.3165012137,-1.321788117,0.01662497159,-0.4763175249,-0.3948835433,-0.1227365509
-0.4483236132,-1.426165022,-0.2579845812,-0.305283159,-0.4666467011,-0.1195722073
-0.6569057195,-1.493514803,-0.5394874007,-0.08913886547,-0.5617929101,-0.1426138729
-0.806315652,-1.555938818,-0.7509411169,0.150355041,-0.6471132636,-0.1935999542
-0.9615994449,-1.580850557,-0.861053935,0.3768294752,-0.690658927,-0.2586500645
-1.049942914,-1.509670988,-0.8222329137,0.5553353429,-0.6785633564,-0.3180305064
-1.058811573,-1.431960556,-0.6199567757,0.6631797552,-0.6238268614,-0.3775090277
-1.017703317,-1.300594522,-0.2298281618,0.6934577227,-0.5331555009,-0.4381813705
-0.9841034646,-1.044767411,0.3087614133,0.649492383,-0.4032094479,-0.4803703725
-0.7964885238,-0.842670137,0.8572656486,0.5629665852,-0.256716013,-0.4878345132
-0.4826278877,-0.6703449007,1.368342947,0.4450657964,-0.1219768301,-0.4710193276
-0.2321719485,-0.5209598104,1.776430996,0.3166404068,-0.02437640913,-0.4450539649
-0.03569090658,-0.4549164356,2.129441301,0.1828022003,0.02463241294,-0.4164502919
0.1755402529,-0.480948118,2.392664368,0.0537218675,0.03001126461,-0.3911365271
0.3888850436,-0.6108925947,2.517586632,-0.05165115744,0.005591406487,-0.3739461005
0.5637478356,-0.7777180647,2.486293084,-0.1332158148,-0.04368432984,-0.3602482975
0.7139915886,-0.8905494941,2.36367442,-0.1996291876,-0.1037303582,-0.3386700153
0.8622451906,-0.9658774145,2.227991692,-0.2408609986,-0.1650272161,-0.3074765801
1.059467406,-1.039810666,1.997683053,-0.263050735,-0.211772874,-0.2687020302
