x acc,y acc,z acc,x gyro,y gyro,z gyro
0.572367926,1.07558136,-0.4651449842,0.2330732793,0.1809831858,0.2218574584
0.729801006,0.8515034318,0.01979308023,0.3761613667,0.03298826143,0.4653965831
-0.3431447444,0.7038809673,0.4186304857,0.4418471456,-0.005450687371,0.3507871926
-0.7294464934,0.51418111,0.7218418637,0.3707173467,-0.001569585176,0.06682121009
-0.0958601286,0.6971674411,0.8213082001,0.2020985484,-0.01680367067,-0.03301840276
0.1977979697,0.7230833882,0.5304957005,0.05169444904,0.04824558273,0.04548679292
-0.1305193541,0.544390078,0.32911505,-0.03700539097,0.2134748697,0.07714316249
-0.05845335801,0.3362172832,0.4656628706,-0.2184148431,0.1865545064,0.007689878345
0.2238070018,0.191847683,0.363467986,-0.4634796381,0.04966929927,-0.0734128952
0.618439503,0.2974520837,-0.3108627695,-0.4676672816,-0.03777344152,-0.01712419279
0.3911084187,0.5118009369,-0.8297937043,-0.1263107955,-0.02170734294,0.1197571307
-0.04078676842,0.2336222934,-0.451013583,0.2340115756,-0.04009333998,0.1812481582
-0.3032539019,-0.2233393843,0.4912573305,0.3318940699,-0.09287113696,0.1042646691
-0.04687763264,-0.6543415681,1.205442542,0.1404233426,-0.1754415333,-0.01424217131
0.618584026,-0.7022384608,1.358422442,-0.1705414355,-0.2574555278,-0.09855419397
1.088199434,-0.4981617031,0.9166331989,-0.3211143911,-0.2222497612,-0.08014506847
1.425188286,-0.5139665905,0.3255506355,-0.1664075404,-0.1329733282,0.05573894829
1.490189312,-0.734987761,0.2444219198,0.05179868266,-0.09220888466,0.1748873144
1.67723617,-1.069531558,0.109148357,0.2214043438,-0.1754098237,0.245282203
1.725894695,-1.238734278,0.09609130701,0.3290346861,-0.2818763852,0.2807212472
1.703826656,-1.165439617,0.1425228033,0.3656658828,-0.2917225957,0.3476426303
1.695026971,-1.134504965,0.01034779101,0.3634021282,-0.2139919698,0.4306371212
2.033843185,-0.8997580519,-0.4345855952,0.3956415057,0.02146251686,0.6605283022
2.487633685,-0.7444102538,-0.8695622356,0.4620427787,0.4731937945,0.9807939529
2.600674373,-0.466502244,-0.7120452768,0.4519003928,0.9518063664,1.286587
1.935906542,0.04175590571,-0.2335615031,0.137026161,1.424477458,1.408466578
1.776400017,1.283026132,-0.3478951538,-0.3994947672,1.850680232,1.621554971
4.183198708,1.258630235,-1.293939156,-0.7151601315,2.33560729,2.16062808
-0.002303198908,3.848920284,-2.10074303,-0.1766112447,1.346796513,2.225631475
-1.474665579,2.922593666,-2.416480712,0.6749602556,0.7459968328,2.012676239
-2.43914058,3.196060479,-0.2420990298,0.8878518939,1.025176883,1.918026567
-2.609585702,1.709751662,1.872542177,0.452557534,2.264556408,1.833453059
-3.184522601,1.057498298,3.407620578,-0.5881416202,2.611551523,1.774066091
-5.636121388,1.82332368,2.443787237,-1.351742029,1.531284451,1.313654542
