lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-1.0941181,4.53081,8.897113,-0.038330667,-0.68949383,-0.20967332
-0.91884387,4.269394,8.718249,0.05971032,-0.6991147,-0.1485886
-0.4971089,4.322036,8.895318,0.09910997,-0.55693996,-0.07925743
-0.13579269,4.2909293,8.630911,0.13087402,-0.38697174,-0.08414421
0.091525465,4.471587,8.274381,0.034054734,-0.300995,-0.17363334
0.21595225,4.538586,8.388638,-0.11010522,-0.27442312,-0.290916
0.38644084,4.467998,8.960523,-0.122627586,-0.2715216,-0.34848836
0.40079778,4.3962135,8.979665,0.029015245,-0.25105822,-0.3465031
0.77766734,4.54397,8.775079,0.1279725,-0.3582619,-0.29503924
1.3393825,4.7629137,8.5346,0.14171657,-0.42927292,-0.35994175
1.5230316,4.781458,8.062616,0.053601846,-0.45034716,-0.5128063
1.3884354,4.62413,7.8436728,-0.08063184,-0.39414918,-0.6154286
1.1030912,4.4243293,7.9998045,-0.25105822,-0.14553437,-0.6143596
1.11685,4.486542,7.980662,-0.27961534,-0.029015245,-0.6134434
1.3597214,4.5673003,7.8059855,-0.30221668,-0.08460235,-0.7038488
1.3304094,4.738387,7.682157,-0.31565532,-0.18630841,-0.8444963
1.2951152,4.800002,7.400402,-0.34100547,-0.2843494,-0.961779
1.3010973,4.814359,7.6396847,-0.42072105,-0.50730866,-1.0897515
1.1659029,4.9340005,8.254042,-0.44133714,-0.6552864,-1.2129899
1.2460624,4.9058847,8.880363,-0.36895174,-0.6087093,-1.3322579
0.92662054,4.701298,8.912666,-0.29503924,-0.41675055,-1.467866
0.4438686,4.57747,8.840881,-0.28129515,-0.4277458,-1.5315468
0.041874398,4.2867417,8.739186,-0.27717194,-0.5438068,-1.5938532
-0.5952146,4.529015,9.287741,-0.31168482,-0.7359182,-1.6459279
-0.7405786,4.4871407,9.84467,-0.25899923,-0.83502823,-1.6518837
-1.2831511,4.2681975,10.176077,-0.1331647,-0.77730316,-1.5862176
-2.0111675,4.2245283,9.877572,-0.01007898,-0.5366293,-1.3261493
-2.4711876,4.599603,9.600603,0.09651387,-0.33764583,-1.0083561
-2.3258235,4.7892346,9.129216,0.17806198,-0.18661384,-0.79578125
-1.7718852,4.642076,8.955737,0.106745556,-0.2005106,-0.70232165
-2.0955145,4.3184466,9.23151,0.068567604,-0.19684553,-0.65559185
-2.1337996,3.8709888,9.250652,0.04871507,0.012522369,-0.5041017
-1.4243277,3.333202,8.705687,-0.07742489,0.11957335,-0.50654507
-0.80159557,2.891128,8.147561,-0.40575528,-0.086129464,-0.58091575
-0.61016977,1.5643078,9.800404,-0.95597595,-0.8890882,-0.8247965
-0.8380861,0.62931234,11.779866,-0.92512816,-1.1920685,-0.80815095
-1.1563315,-0.123828575,11.216356,-0.14034216,-0.42957833,-0.27320144
-0.91226363,0.2542374,8.695518,0.046729814,0.114228435,0.07650862
-0.82013994,1.0666007,7.220342,-0.27992076,0.45156884,0.20906247
-0.57607204,1.7527425,7.3100734,-0.8284616,0.5552602,0.06215371
-0.6646065,1.8299111,8.575876,-1.2365075,0.22280654,-0.28755635
-1.2556337,0.799801,11.429915,-1.2136008,-0.7076666,-0.6026008
-1.9088743,0.20039889,12.489338,-0.8090672,-1.0644014,-0.4950917
-2.1535404,-0.0041874396,12.333804,-0.19669282,-0.76493347,-0.024586603
-1.7371893,0.1471586,11.44846,0.1447708,-0.26968905,0.3787253
-0.44985065,0.68494546,10.2520485,0.31611344,0.2843494,0.7149967
0.18245272,0.87158567,10.581061,0.2933594,0.52548134,0.79532313
0.4977071,0.8344969,11.3677025,0.53326964,0.8222004,0.7815791
0.23509483,1.0037891,9.800404,0.7550072,1.1528215,0.73469657
-0.08853444,1.4823537,8.295318,0.61695576,1.2394091,0.61237437
-0.4642076,2.0051854,7.663613,0.20096874,1.0030112,0.30420193
