accelerometer.x,accelerometer.y,accelerometer.z,gyro.x,gyro.y,gyro.z
0.02748889543,-0.0264092835,0.07572481081,-0.06580226123,-0.003298255615,0.01451304741
-0.01840717883,-0.08947042757,0.08383388298,-0.0542822592,-0.001420703018,0.002763143741
-0.007571312037,0.0009328969359,0.05038812498,-0.04817216843,-0.005103055853,-0.005483600777
0.02325520338,0.03661912735,0.02851473134,-0.02772804722,-0.01715589687,-0.009883558378
0.0959814169,0.05860650275,0.02057107886,-0.00737403892,-0.02775128372,0.00004497215559
0.1798655688,0.03673778529,0.07027355967,-0.001873084926,-0.03952759504,0.00488523487
0.2094400383,-0.04953472302,0.0568213729,-0.003821453545,-0.04310608655,0.01196444873
0.1147492457,-0.1301864688,-0.04708762213,0.001407067408,-0.04558693618,0.007957112044
0.02370879237,-0.1208674363,-0.1193660919,0.0004629767791,-0.03748133779,0.0002342111256
-0.05149053326,-0.04081891712,-0.1098459839,-0.00004842907947,-0.02026031539,-0.006681471597
-0.08955576776,0.0132499422,-0.02289806051,0.001098328037,-0.01522587612,-0.01197423786
-0.04549743033,0.1055178915,0.09915244815,-0.01339255366,-0.01881781407,-0.01480640657
0.04317863199,0.1921194857,0.1749959169,-0.04088889062,-0.02934262529,-0.01810100302
0.1273953768,0.2404045009,0.2344353633,-0.07519891113,-0.01923773997,-0.01777969487
0.1574889018,0.3067535806,0.2332464458,-0.1120525375,-0.01530505158,-0.02642271854
0.1292044721,0.2230354329,0.214926653,-0.1429256052,-0.01463701017,-0.03969988599
0.009004559711,0.06748246764,0.1417024268,-0.1469272822,-0.0008042850532,-0.05625675991
-0.106985626,-0.102460842,0.1030786817,-0.1337698251,-0.004362618085,-0.07539314032
-0.1270265435,-0.1179161853,0.1282809275,-0.1114115193,-0.04990560189,-0.08561568707
-0.04296352794,-0.07661153052,0.2003784877,-0.09355785698,-0.09709299356,-0.08565099537
0.01736322273,-0.04691781852,0.2101972864,-0.0892392695,-0.13534531,-0.06969226897
0.1457142928,0.1626899776,0.1296276659,-0.06796120852,-0.1545220613,-0.03259557486
0.2960088992,0.2669879719,0.1213525895,-0.042791944,-0.1948684156,0.02189775929
0.3659884444,0.2117483152,0.1802788257,-0.05662145466,-0.1848157197,0.06474389136
0.3033978404,0.1435556535,0.1890770492,-0.1029380858,-0.1753002554,0.08569205552
0.09851765738,0.02935235121,0.1746440347,-0.1813457906,-0.1819213778,0.0731068328
-0.1611602838,-0.09798574246,0.1007084454,-0.3057889044,-0.2306084931,0.01343418285
-0.2542313662,-0.06926701297,-0.02685468918,-0.4489050508,-0.2933011651,-0.03592404723
-0.1816670652,0.1077396592,-0.1814168899,-0.5948798656,-0.3346866965,-0.07979775965
-0.05956979482,0.2506669517,-0.2209022203,-0.7394297123,-0.3722105324,-0.1250106692
0.05965805763,0.2494634211,-0.1820566491,-0.8586139083,-0.3821763694,-0.1770376414
0.2942792989,0.1483867269,0.02329348956,-0.9697001576,-0.4412358701,-0.1943645924
0.5346604189,0.01374094058,0.2609317406,-1.029336333,-0.501496017,-0.1894403994
0.4838496846,0.2251408808,0.2014563461,-1.057550192,-0.546189785,-0.1698432863
0.412214189,0.3980453784,0.3082522947,-1.105970502,-0.6148144007,-0.1568300128
0.339596112,0.4143354189,0.4336009681,-1.193861485,-0.6981973052,-0.1639568806
0.2904424972,0.3096539782,0.3977665614,-1.255328298,-0.8077600002,-0.2035197467
0.3169616709,0.219620656,0.2627566179,-1.280512691,-0.9434005618,-0.2545358837
0.4683575165,0.2152151146,0.161840375,-1.260892391,-1.108809948,-0.293476373
0.7104004322,0.230848737,0.2037225374,-1.320949674,-1.50982523,-0.2892270684
0.9065110333,0.5124895037,0.4366682467,-1.478888392,-2.115777254,-0.179433465
1.207366788,0.5098036256,0.09060337712,-1.587281704,-2.531124592,-0.03205212578
1.360514446,0.2459872694,-0.3442603044,-1.621316671,-2.712380171,0.07160502672
1.295635439,0.1671206535,-0.6188803786,-1.597793937,-2.696715355,0.0972083658
1.136607491,0.20283611,-0.7430224527,-1.53938663,-2.591466665,0.06377691031
0.9206190536,0.2056587662,-0.6498001253,-1.456725121,-2.508996487,-0.02003784105
0.6422124466,0.1300192956,-0.3962116601,-1.374864101,-2.502189398,-0.1220022887
0.3560363747,0.06556698941,0.05420622196,-1.307754159,-2.474503994,-0.2173364162
0.002454407415,-0.05574994427,0.5324748551,-1.203695655,-2.327286005,-0.2972056866
-0.3081558486,-0.1790899082,0.8967080167,-1.013495326,-1.995661259,-0.3390363753
-0.5423164866,-0.2762953139,1.237351007,-0.7470507622,-1.348882437,-0.3368720114
-0.6910650326,-0.4142822274,1.37332132,-0.4347761273,-0.3909765482,-0.2694750726
