accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
1.944405052,-2.931147852,2.728281639,-0.1985701919,-0.3595094979,0.08517607301
1.591221728,-2.376776478,0.9720763422,0.1169577911,-0.2639573216,0.186829865
0.9026368222,-0.5434948828,0.057490139,0.3900188804,-0.4072345793,0.240240097
0.6236825182,0.06790156984,-0.7333318105,0.672121942,-0.5375692248,0.2332778126
0.232625099,-0.4074158488,-0.7986182294,1.05996418,-0.4531041384,0.1758667231
-0.3308312063,-0.08321575109,0.05518825527,1.202095032,-0.3290468752,0.1335793883
-0.4352081111,4.187840689,1.980927148,1.002925396,0.07309310883,-0.1968994588
1.686016566,3.262230987,0.8218494673,0.9971763492,0.2218001634,-0.1193978637
1.772356294,0.7306392104,-2.39250304,1.358899474,-0.06129224598,0.1210296527
0.4026759608,0.624745179,-2.710720848,1.700094104,-0.3084824085,0.3602917194
-1.034537109,1.008706795,-2.246594685,1.709847689,-0.6667619944,0.5152240396
-0.7292804892,0.3626379649,-2.345143322,1.517729998,-1.258262515,0.7669571042
0.5239233363,-2.084956263,-0.967731518,1.085172892,-1.510463953,1.160184383
-0.7992734784,-3.597359891,2.823902406,0.4811421931,-1.198289633,1.420822263
-1.707858395,-2.733266149,2.783844536,0.1299740523,-0.7864429951,1.548647642
-1.496395911,-0.2134144949,0.7520762584,0.1226316616,-0.4360702336,1.523159266
-1.109236084,0.8429898705,-0.1540916606,0.3155624866,-0.1696494669,1.446294308
-0.452964717,1.071326625,-0.6115641739,0.4526826739,0.024998229,1.491688371
0.3415682888,0.7211831075,-0.7510948462,0.4222379625,0.09155062586,1.618578672
0.5520306559,1.807295213,-2.497526426,0.2279387265,-0.1491999179,1.610267282
0.5293313329,2.180691011,-3.055453738,-0.1711183786,-0.2753328085,1.542575359
0.1658411351,1.140154954,-2.22671042,-0.6124821305,-0.2133658975,1.495270491
-0.3427045994,0.5435471975,-1.196058043,-0.9207616448,0.06066458672,1.476896882
-0.6947188789,-0.07815642187,0.6884060425,-1.151410103,0.461808145,1.480050921
-0.7837444853,-1.232756081,0.9234545693,-1.296984076,0.583537817,1.620315313
-1.044312653,-1.640492248,0.4587608361,-1.402976155,0.4426068962,1.829839349
-0.2937847934,-2.093514832,1.355357794,-1.396910071,0.5433492064,2.285509109
1.59910576,-3.130313457,1.987140616,-1.303738952,0.8142837286,2.865652084
2.172099709,-3.236504133,1.724519607,-1.153262377,0.9415058494,3.466295004
2.032722802,-3.119126877,0.7678373066,-0.9292351604,0.6709848642,4.091078281
2.084797857,-2.739535439,-0.1510264278,-0.6195936799,0.2085623592,4.669495106
2.229624261,-2.385676408,-0.4430956494,-0.2521790266,-0.1418807656,5.135043144
2.403125556,-2.339686226,-0.2662158002,0.1550646424,-0.0546313487,5.498137951
3.058302113,-2.510416302,0.06063946988,0.5407488346,0.2671735585,5.815279007
3.270764714,-2.717393165,-0.4666910811,0.8629143834,0.3654945493,6.036223412
3.224684516,-2.844628383,-1.067247539,1.116212368,0.197111398,6.178200722
3.077346421,-3.734790339,-0.6641723495,1.340645313,0.06820215285,6.38662529
3.411947209,-4.889415133,-0.4059820896,1.507262826,-0.06117555499,6.622001171
4.006328522,-6.013070203,-1.40914316,1.599081397,-0.7354088426,6.524021149
3.517464224,-6.246777252,-1.861262658,1.581842422,-1.526621222,6.311525345
2.829692972,-5.964248012,-2.426644963,1.344940662,-2.385313749,6.03080368
2.468712127,-5.434214084,-2.443158876,0.7596153021,-2.946883917,5.71546793
1.883904114,-5.242172339,-1.23398533,0.3789145947,-2.934362173,5.429058552
0.5152402637,-6.362189345,2.036357944,0.5461156368,-1.935767055,5.302051544
-0.6518037933,-5.95060644,1.680358979,0.9399161935,-0.8106008768,5.124721527
-1.482491597,-4.103768028,0.8045154707,1.281513691,0.4003518522,4.783880234
-1.816332506,-3.56722428,-0.1037637413,1.670501232,1.272681475,4.409045219
-1.798711802,-3.679214582,-0.5152035849,2.041033745,1.821084142,4.109028816
-1.448380361,-2.650522108,-1.675042898,2.166167021,1.806395769,3.861251831
-2.199910091,6.952753438,-6.478314556,1.565119624,-0.05648058653,3.095896006
-3.300701003,25.95398069,-13.49970255,0.2707216442,-3.636281252,0.9096170068
-1.3956692,43.59861798,-17.20604129,-1.107687116,-7.684966087,-1.41135788
1.646019487,40.09547075,-9.859088628,-1.471918702,-9.212561607,-1.94680512
3.816046481,22.50915705,1.051801548,-0.6177863479,-8.040566444,-0.9131498337
4.179401946,7.548543156,10.0208913,1.495147228,-5.359243393,-0.3164038658
3.445933358,-0.2386240472,8.935401419,2.731796026,-3.395024061,-0.1555793434
2.387925649,-4.035933094,5.942939266,3.200261354,-2.145377636,-0.04854343832
1.876810356,-5.526571465,4.972084648,3.183500528,-1.341547608,0.0340824239
1.887199356,-5.548354842,4.587144835,2.678515673,-0.7986090779,0.1808116734
2.378562485,-4.329439071,4.747831656,1.599905849,-0.314141959,0.4032879472
3.155760617,-2.205272495,4.766783901,0.102811262,0.1603966206,0.6918473244
3.555014202,0.2575403446,3.478453233,-1.218045235,0.4714351594,0.9157384634
3.27087402,1.693158839,2.199275008,-2.012496233,0.6480845213,1.036700249
2.842218107,2.195907285,1.851850394,-2.343539238,0.8048600554,1.083914161
2.220131918,2.346597613,2.247266301,-2.357636929,0.966622591,1.063125014
1.223679333,2.482522333,3.14306071,-2.114506006,1.049414992,0.9355865717
0.08480097445,2.816532754,3.764591019,-1.662366629,0.8808962107,0.759873867
-0.8520224873,3.101979343,2.929748214,-1.317169189,0.2763956487,0.5506393313
-1.46402129,3.353973744,2.203842901,-1.230117917,-0.6007249355,0.3005866408
-2.010997731,3.504050908,3.30816184,-1.401976585,-1.349677086,0.06935115159
-2.569963885,3.056651424,6.08645868,-1.835510254,-1.522039533,-0.08026869595
-2.87854585,2.36097919,8.766170057,-2.438542128,-0.9159395695,-0.1518814713
-2.543334822,1.809331395,8.98922887,-2.857230186,0.1217963025,-0.1237222776
-1.696643758,1.750797958,6.870170432,-2.950036049,1.031352162,-0.08659826219
-1.11035727,2.861190811,3.670470719,-2.823444366,1.254270196,-0.1790017039
-0.8270821073,4.448929373,0.7974620451,-2.623247623,0.9075600505,-0.4025578499
-1.198990662,6.057532445,-0.2776227632,-2.502635956,0.5833681226,-0.7855824232
-1.618557333,6.251496097,-2.590933024,-2.093156338,0.3244690895,-1.062894583
-0.8466913554,4.750622163,-6.926113268,-1.529202938,0.06756857038,-1.121409535
0.5789391211,2.978646977,-10.3246872,-1.276173353,-0.4647872448,-1.201325297
2.490847094,0.6086071142,-10.52518873,-1.264098644,-1.286977768,-1.174753666
3.909386151,-1.336006027,-8.589132989,-1.484326601,-1.865589976,-0.9679983854
4.404847071,-2.388757423,-4.002615054,-1.937840343,-1.79936409,-0.6852571964
3.334258989,-2.618336579,1.216469694,-2.085383177,-1.198314667,-0.4626549184
0.1259536353,-2.772899364,3.695004857,-1.683017969,-0.1413963586,-0.2926565707
-2.352573472,-2.46888836,2.021745481,-1.227598548,0.5260462761,-0.2839234471
-2.362672257,-1.96263512,-2.085971723,-1.030654073,0.2617917359,-0.3772323728
-1.464754865,-1.772145866,-4.488127411,-1.020400167,-0.4238909185,-0.3943907619
-0.8512085406,-1.979984899,-3.798288706,-1.001023293,-0.7854285836,-0.3245283365
-0.9514277411,-2.162044179,-2.703624168,-0.8744648099,-0.8200941682,-0.3047969639
-1.362846396,-2.239832352,-2.367458615,-0.6983321309,-0.8014011979,-0.3464418948
-1.625610028,-2.339304533,-2.115629926,-0.5730566382,-0.8562927842,-0.3885087073
-1.719229392,-2.294441309,-1.856480977,-0.4975709915,-0.9742292762,-0.4207113981
-1.729583905,-2.111260917,-1.623451389,-0.4343072176,-1.105542064,-0.45230937
-1.735465656,-2.035351397,-1.660266623,-0.3908297718,-1.263185501,-0.4598570466
-1.543897375,-1.892171007,-1.804673925,-0.3451051712,-1.404632449,-0.4552708268
-1.13585375,-1.734014581,-1.841541036,-0.3265085816,-1.531716943,-0.43020913
-0.4843845222,-1.569206296,-1.733718813,-0.2952811122,-1.645540118,-0.3828568161
0.2623138426,-1.485961027,-1.24315151,-0.2911944985,-1.715775967,-0.3327078819
1.004480701,-1.568534096,-0.5692798969,-0.290202409,-1.685355067,-0.2877535224
1.749545035,-1.411872293,0.5755060779,-0.3078349531,-1.469494104,-0.2723836303
2.29699304,-1.085873329,1.072139402,-0.3301458061,-1.317649841,-0.3377783895
2.732783919,-1.134861524,1.687197446,-0.3132496476,-1.147487402,-0.3853621483
2.761130892,-1.422812789,2.314838785,-0.2927161455,-0.9629076123,-0.3946560621
2.474125676,-1.656834895,2.771778251,-0.2784503698,-0.7554340959,-0.3875504732
1.991002845,-1.742591271,3.045001026,-0.2468975782,-0.56913656,-0.3640634418
1.406007492,-1.64352124,3.264327667,-0.1973044574,-0.3414631784,-0.3301795125
0.6882669263,-1.752889962,3.220613321,-0.1072267219,-0.2329682708,-0.2886640728
0.618403701,-1.38757664,3.517881572,-0.0480536744,0.05387201905,-0.3164893091
0.748193864,-0.9962386505,2.873808593,-0.002831444843,0.1473781615,-0.320589453
0.6576733429,-0.8438520403,1.84755562,-0.03309214488,0.0832266137,-0.2568927705
0.5448644176,-0.4277840985,1.276161946,-0.1155618578,-0.1190970615,-0.2122460306
0.1491881247,0.04598842871,0.6176290634,-0.2266702652,-0.4574170709,-0.1787101775
-0.2845107508,0.3021680064,0.8577179224,-0.3464142084,-0.7619680762,-0.1480370164
-0.6782272514,0.6557973199,1.476384804,-0.4684146643,-0.9104949832,-0.1449871659
-0.8691276436,0.8641863878,1.984721572,-0.5698974729,-0.975622952,-0.1583801508
-0.986033702,1.101114737,1.984570473,-0.6480202079,-1.025740385,-0.2133898735
-0.7053247364,1.074129115,2.067591579,-0.7045386434,-0.972413063,-0.2815166414
-0.3140407784,0.7282312724,1.693453146,-0.7035226226,-0.9961031675,-0.3687535524
0.2391027706,0.08797522057,1.900972737,-0.6336405277,-0.8950069547,-0.448025763
0.6418129259,-0.6385714598,2.286266186,-0.5313173532,-0.688323319,-0.5181241632
1.30251117,-1.364297471,2.737102074,-0.4247475564,-0.3898555636,-0.5216360092
1.503953779,-1.858092211,1.503743351,-0.3419389427,-0.4551882148,-0.5042836666
1.286918464,-2.452534607,0.8740651,-0.256901592,-0.5220552087,-0.4693136811
0.7425190333,-3.286366188,0.256810569,-0.1714428812,-0.6212563515,-0.419659853
-0.101797702,-3.823009305,-0.9243360283,-0.1110882387,-0.7443426251,-0.3718371093
-0.6676786041,-3.655973992,-1.004893666,-0.1297958791,-0.7954423428,-0.3577878475
-1.046255969,-2.685214066,-0.1095040386,-0.2213872075,-0.7448065281,-0.3929355443
-1.482464709,-0.9067010029,0.7822738283,-0.2123969048,-0.5333123803,-0.4878772199
-1.610632239,1.625184204,1.612319169,-0.1883020103,-0.4390154183,-0.6126409769
-1.423907598,4.878281744,3.702376555,-0.3397969902,-0.5096696615,-0.7764421701
-1.22545248,8.457524379,6.083728378,-0.5289230347,-0.7108849287,-0.9155629873
-1.212392799,10.96489883,6.548356645,-0.4916682839,-0.790615201,-0.9139669538
-0.8948521597,10.50511859,3.593011632,-0.147804141,-0.789108336,-0.5637857914
1.088401386,7.463786897,0.2129448315,0.314793855,-0.5034059882,-0.1495089829
2.920343549,3.086580698,-3.072730744,0.5314278007,-0.03554567695,0.1339287311
3.83655297,-0.9817536136,-5.514630852,0.6352995634,0.4686900377,0.1595054567
6.094560737,-4.640633264,-5.948025776,0.8294372559,0.9464236498,0.0137704201
8.876611376,-8.029328777,-3.408859472,1.120427608,1.538621783,-0.0507257469
10.04073699,-9.975783747,-1.112504146,1.523059726,2.030927896,-0.08523191512
8.601668061,-10.00560488,-1.176800093,2.007431507,2.473583698,-0.07094459236
5.390048194,-8.156554058,-2.049654063,2.511115789,3.191464663,0.07145912945
2.709435484,-5.139511006,-3.627938276,2.844013691,3.875803232,0.2252721339
0.7820677843,-1.228199733,-5.239324549,2.82636404,4.274027824,0.3119011223
-0.05649345612,2.610216401,-5.434862318,2.479614735,4.328414917,0.4121571481
0.1231444414,4.775790507,-4.605376657,2.044542551,3.99442029,0.6218757033
0.246415724,5.591317201,-4.092618858,1.739332557,3.224407434,0.8340976834
0.05419745413,5.693427914,-4.065616285,1.568514705,2.298110723,0.9346866012
-0.132968793,4.885608142,-4.002715884,1.384298801,1.497719407,0.9013728499
-0.3722357412,3.680187811,-3.684177173,1.162149787,0.9129430056,0.7604830265
-0.6727618987,2.292442244,-3.456293131,0.9649641514,0.460580349,0.5496080518
-0.800226176,0.746752433,-3.057489044,0.8558170199,0.1529618055,0.3674689829
-0.803190871,-0.8859931459,-2.207192065,0.8356060386,0.03510867804,0.3047541976
-0.8233741196,-2.192981753,-1.48902509,0.8558561802,0.03922123834,0.3343965709
-0.7546469126,-2.791526908,-0.9495558098,0.8858479261,0.1353981048,0.409638077
-0.659905705,-2.655783389,-0.3796294317,0.9231631756,0.3288993239,0.4944936335
-0.5226415529,-1.849770373,0.199404382,0.9755368829,0.6409778595,0.5787088871
-0.4020443118,-0.6259434489,0.5700619872,1.017785192,0.9615383744,0.6082125902
-0.1521627383,0.8648995045,0.305551219,0.9957017303,1.172031999,0.5168858767
0.01034720649,2.035987941,-0.2401063947,0.9270609617,1.223829865,0.3424895108
-0.06596826369,2.647325357,-0.8041314398,0.8563671112,1.122325182,0.1769444793
-0.2896364781,2.393914075,-1.275796766,0.8139097095,0.8836236596,0.09146441519
-0.5471303532,1.424595581,-1.604863885,0.7929423451,0.5674188137,0.08011349291
-0.5471718177,0.325177126,-1.194544131,0.8122572899,0.3830341101,0.0654643625
-0.5431707654,-0.4186357464,-0.7141156533,0.8386462927,0.2884095907,0.007161911111
-0.5913323734,-0.8921762185,-0.5448239394,0.8824194074,0.263358295,-0.06189152226
-0.570171585,-1.189234919,-0.1589560517,0.9272611737,0.3380897939,-0.1142668426
-0.5371145341,-1.344564012,0.3000713263,0.955286622,0.5269280076,-0.1377416402
-0.5072620879,-1.216820845,0.5543249774,0.9669501781,0.7957171202,-0.1449532211
-0.4833446212,-0.9169277979,0.5878882974,0.9298840761,1.030875802,-0.1562596709
-0.5724006227,-0.7142465862,0.489329139,0.8594098687,1.173921108,-0.1643423587
-0.6246478561,-0.6899982802,0.5246282697,0.7917879224,1.31457448,-0.1603984833
-0.6950476725,-0.8420838616,0.551164979,0.7255045176,1.470967531,-0.1205157712
-0.7760887099,-1.145401038,0.4259958999,0.6487115026,1.583339691,-0.02196526155
-0.8206190488,-1.191513385,0.2646598212,0.571056366,1.664380789,0.08092650026
-0.9722410313,-1.076346206,0.01735124003,0.509042263,1.661646485,0.1438689977
-1.184593523,-0.8484721013,-0.2826116575,0.4984061122,1.584220409,0.1535218954
-1.171070609,-0.4687631747,-0.24241511,0.5672776699,1.573454261,0.132162258
-0.965489292,-0.03518412611,0.05542860336,0.6721292138,1.68222487,0.06495551765
-0.9354156408,0.2161708079,0.08960282177,0.8046641946,1.800800443,0.008615611121
-0.9242501036,0.3715039929,-0.06097615449,0.9198504686,1.875101805,-0.01508279424
-0.8648740778,0.4400689951,-0.2654690918,0.9775713086,1.86926043,0.001502629835
-0.7727981439,0.3120335668,-0.4543833516,0.99495399,1.778908968,0.03670082986
-0.6026829848,0.2727279769,-0.4976559455,0.9932056069,1.630323887,0.05622795597
-0.3059849343,0.3829793266,-0.2610818166,1.013468266,1.494690418,0.06184642389
-0.03283902428,0.4848153148,0.1287543902,1.080217242,1.393628716,0.06393615156
0.1684410884,0.5512105717,0.5653568782,1.198840022,1.312777758,0.05972782522
0.201195357,0.5316191515,0.8449959496,1.308914423,1.203647017,0.07488133013
0.06032178223,0.4157996462,1.034022145,1.373365402,1.067483306,0.1131501496
-0.1480728387,0.4231657911,1.278287413,1.399736524,0.940582931,0.1334099472
-0.3400181368,0.6253834769,1.610535208,1.427241087,0.847938776,0.1155143008
-0.6264613353,0.8151847488,1.901663642,1.446160793,0.741990447,0.09702193737
-1.116471881,0.7956646402,2.021751619,1.452504754,0.5962076783,0.09755030274
-1.60357969,0.8489929103,2.291566046,1.436957836,0.4931157231,0.07768933475
-2.014993376,1.13982996,3.061578359,1.453677535,0.5699667931,0.03191679344
-2.462439038,1.50955876,4.116550938,1.414606333,0.8712060452,-0.02979365736
-3.059616703,2.037180366,4.738711945,1.160771966,1.263179898,-0.08885963261
-3.77018577,2.271731465,5.267928712,0.7315528989,1.716879487,-0.08276318759
-4.309196493,2.433897711,5.455829119,0.2257347107,2.157356024,-0.06424462795
-4.520936917,3.051773588,4.607461062,-0.2763587236,2.424383879,-0.1102922559
-4.657068558,4.484985022,2.746523106,-0.6440190077,2.398523808,-0.195135504
-4.715406473,6.111732237,0.5007961433,-0.8237009048,2.02657938,-0.3590049148
-4.268395404,7.174561959,-0.5879468957,-0.849040091,1.527584195,-0.6903330684
-3.395904129,6.84413232,-0.2668701907,-0.7918824553,0.9105531573,-1.020880461
-2.73998406,5.17342672,0.4579369525,-0.7155227065,0.09161435813,-1.132825613
-2.213036699,3.721936118,1.55717099,-0.6506663561,-0.791146636,-1.071845531
-0.6246402573,4.090338638,3.262992035,-0.6983212233,-1.462394238,-1.131285667
1.168466564,4.702525364,4.932793087,-0.9336169958,-1.770838976,-1.241267562
2.40377116,4.724136308,6.960484324,-1.381081104,-1.562628269,-1.191589952
3.472400801,4.483524886,8.699989904,-2.043058872,-0.8524482846,-0.9706607461
4.138452096,3.95999844,8.742041578,-2.814202785,0.09893568605,-0.6852630973
4.25013494,3.702047176,6.735174517,-3.434131145,0.9697447419,-0.5416627526
4.108467,3.918599677,4.069842963,-3.769694805,1.626715779,-0.5873290896
4.140256807,4.275862379,2.098319164,-3.808118105,2.246399879,-0.6903974414
4.737959666,4.571206677,0.2950127278,-3.604703903,2.805201769,-0.7094448805
5.154817297,4.279971568,-2.449576926,-3.345293045,3.013665199,-0.6591764688
5.292552281,4.51391301,-5.346152938,-3.170403719,2.774670362,-0.5742796659
5.334085484,4.612829311,-5.638272429,-3.074095249,2.601610184,-0.524066329
5.000399473,3.695082598,-5.645231162,-2.92290473,2.288243532,-0.5157340765
4.149334725,2.439184711,-5.978798515,-2.67802906,1.709177256,-0.5020258427
3.664034257,1.180915419,-6.200534556,-2.261254072,1.061357737,-0.2967818677
3.587458382,0.3191331697,-6.770207252,-1.685345173,0.1375645399,-0.02771745063
2.869415618,0.7404027718,-7.384832019,-0.981102407,-1.081698298,0.07623398304
1.443280992,1.167018996,-5.558292299,-0.3827272952,-1.985927224,0.0005725058727
0.4867709789,1.12482879,-0.565223315,-0.2282562256,-1.960033059,-0.1108493581
-0.6111866093,0.7306412562,4.141826249,-0.87148875,-1.002135992,-0.3348119259
-1.40551474,-0.1601630894,6.067900694,-2.058802128,0.4393409193,-0.4387127459
-0.9614533875,-1.016710361,1.788410334,-2.838717937,1.276433349,-0.3024456799
-0.1818221097,-2.07455002,-3.784190038,-2.975596666,1.01538825,-0.08449152112
0.5526185388,-2.700665318,-6.43891135,-2.661805153,0.100263752,0.09176813811
0.9626093526,-2.695796835,-6.556292114,-2.222965479,-0.6904711127,0.08556430042
0.7398291366,-2.455881579,-5.117291576,-1.832106352,-0.9459450245,-0.1403663307
0.09734978264,-2.394716624,-4.219725481,-1.506165743,-0.9734504223,-0.4439853132
-0.8568382901,-2.495238022,-4.537694575,-1.291364431,-1.059053898,-0.6397846937
-1.054268449,-3.121760732,-4.342984489,-1.256922841,-0.9280697107,-0.5982005
-0.2350382246,-3.898540055,-4.815434827,-1.180383682,-0.8327346444,-0.4082051814
1.00085367,-4.469221051,-6.159400582,-0.9844415784,-0.8513967395,-0.2527011037
2.292319495,-4.795362638,-6.328370662,-0.7228477001,-0.7670750618,-0.2420645803
3.217240922,-5.640026579,-5.832464629,-0.4596831501,-0.6635100245,-0.2417404801
3.541041207,-6.835258693,-5.052222599,-0.1617196053,-0.5825363994,-0.1824920326
3.311408275,-7.530234177,-4.144734245,0.1692926735,-0.4591659904,-0.1413555145
2.832579341,-7.597749962,-3.278078837,0.5430224538,-0.2657855749,-0.1206469461
2.355580545,-7.288878659,-2.67641672,0.8586102128,-0.06781762093,-0.09986390918
1.890697427,-6.704332219,-2.168126421,1.080052614,0.09378840774,-0.08124095947
1.464666163,-6.074158001,-1.386775845,1.224365592,0.2110274136,-0.04334869981
0.9262501183,-5.26842614,-0.2683075301,1.277018905,0.2269520015,-0.01257217117
0.1898472299,-4.252013886,1.36158149,1.264150262,0.2550337017,0.02269127592
-0.8061816503,-3.013676205,2.821454428,1.205054164,0.301723659,0.03795095161
-2.146025502,-1.221886896,4.3289697,1.047010183,0.346950531,-0.005545125809
-3.277945566,1.151433888,5.736282721,0.7392275929,0.2998657823,-0.09761885554
-3.437726086,3.853253052,6.183751764,0.3227161169,-0.05453253537,-0.2278469056
-2.630244459,6.30117695,6.020166298,-0.1065483466,-0.70422405,-0.3213345408
-1.942471892,7.714529252,6.411455773,-0.4260672033,-1.312513709,-0.369984895
-1.42693586,7.498299992,7.365413032,-0.6096174121,-1.503969073,-0.4416483641
-0.6698761141,5.839270218,7.700512418,-0.7268593907,-1.401694655,-0.5010672212
0.445056355,4.226999271,6.621462797,-0.8551664948,-1.360459805,-0.533554852
1.589597634,2.872950222,5.06792578,-1.017836571,-1.375883222,-0.5332129002
2.307290854,1.02677232,3.604380583,-1.120035887,-1.453183532,-0.5134757757
2.310173716,-0.9855541749,2.233798332,-1.071210742,-1.519438744,-0.4634616077
2.04921158,-2.923340101,0.8783765335,-0.8905383348,-1.532169104,-0.4209654033
1.803002777,-4.550596435,-0.166567988,-0.5846346021,-1.408744812,-0.3604783714
1.672263497,-5.471534053,-1.526236923,-0.2204563618,-1.186126232,-0.2844313085
1.939641491,-5.514305273,-2.787213428,0.1859790385,-0.8861188889,-0.2217277288
3.382162604,-4.143987226,-3.021494478,0.5376659036,-0.6177990437,-0.1553206891
