lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-1.9280169,3.507878,10.800603,-0.45920444,2.0324416,-2.4334629
-4.587041,3.7794633,8.170293,0.4199575,-4.4710965,-0.40743512
-0.8033902,1.5990037,11.252847,-0.758825,-2.4041421,0.90435934
0.4648058,1.7922242,10.077373,1.4025053,-0.14309096,0.8437328
0.73818576,3.0448668,8.155337,-0.13285927,-0.32176378,-0.34711397
5.1936216,0.019142581,8.292327,-0.6952969,-0.10552386,0.30649263
3.6131623,-2.4299114,8.280961,-0.9384141,-0.1525591,0.92573905
2.9030921,-1.0378869,10.428519,0.13912046,-2.8418143,1.5142903
4.58405,1.6235301,12.132807,-0.6572716,-1.2665918,1.5292561
3.8733816,1.7036897,11.492129,0.86266905,-0.86572325,2.266396
8.408977,1.6211374,3.3690944,2.7277384,-2.2671597,2.348555
2.8462625,0.046660043,2.0727825,0.8095253,-1.1418263,0.6151232
2.3318057,1.0396814,-3.8147576,0.58091575,-0.83915144,1.7245746
12.262618,-4.2424746,3.214159,0.38559732,-1.5513994,2.466754
8.986844,-2.5980072,-3.76391,0.36467582,-1.3478345,1.5304778
8.842078,-2.8390841,-1.2430713,0.85106295,2.671846,2.577928
5.1343994,-10.460224,1.1742777,0.65971506,0.6097783,1.6531054
8.525029,-9.769895,-6.172286,1.0949438,-4.386036,3.1803763
-1.1629118,-17.91626,-4.464409,-3.7874057,-0.9320002,1.1618315
-3.8333018,-12.875778,-6.6556363,-3.8941512,0.33947837,2.7839365
1.8735801,3.3684962,5.014758,0.23364908,-0.15011571,-0.18325418
-0.020338992,-0.17288144,-8.515457,0.37521294,1.9670808,-3.068591
-15.648462,-17.285152,3.5766716,1.5856068,8.338065,2.5463169
12.284752,-37.058243,-46.179085,7.4798245,-10.225583,-2.0358012
2.201397,-7.4422765,-14.347364,-6.746197,-0.6649072,-1.4800829
-9.815358,-26.811577,-16.077375,-10.086463,-11.173312,5.789763
3.7304106,10.345967,5.5657053,-2.0474074,-1.5972129,0.1524064
-5.519644,-4.6295137,-11.033305,3.7764106,3.2985752,-0.8090672
-11.673984,-22.815563,5.910272,7.1899776,8.1465645,0.044744562
-11.473584,2.3168504,-20.221146,0.72217417,8.339439,-0.54991525
-6.257231,-3.1465619,-18.53301,-8.045164,-7.015428,1.0776873
-3.0412776,-32.52504,2.528017,-7.7258434,2.2483761,5.4699845
3.8398821,-11.876177,3.4354951,7.9626994,6.6185303,-0.46638188
0.9236295,-4.254439,-7.9298143,12.358051,8.497038,-4.289522
15.957734,-41.73681,-26.860033,4.805077,-1.0515735,-2.6938365
0.17527425,-10.156934,-17.334206,-14.766622,-2.2705193,-0.10888352
6.346962,-51.340405,8.448459,-8.308439,-3.9772265,0.22769332
-8.522636,-14.128421,22.172493,9.02985,9.792951,0.5279247
6.099903,-22.14318,10.280165,11.647178,7.792273,0.9463551
14.580067,-31.482965,-11.099108,8.141067,4.016168,-0.8322794
-7.6755767,-5.501099,-8.802596,-7.2154803,-7.5109777,1.4981029
4.4482574,-58.551773,0.51206404,-10.239633,-5.643007,1.0405782
-0.005383851,-12.142977,29.905497,6.170932,21.288332,-2.5559375
6.5677,-25.132414,4.930411,12.371184,5.939726,-0.1368298
23.964119,-38.20859,6.407381,5.2658086,3.2596338,-2.2482233
6.902695,-7.9890366,-17.608782,-6.983206,-9.327638,2.5788443
17.725431,-50.69434,12.8010025,-8.796201,-4.1939244,-0.2443389
-10.331012,-11.736795,26.528028,5.10088,17.16038,-4.146431
3.0490541,-27.773493,18.34936,8.054937,4.95107,4.611897
46.008595,-31.29812,-17.538193,5.8623013,3.3688226,0.8263236
-0.5395815,-19.088743,-4.627121,-7.416602,-5.572912,1.4090719
35.724842,-49.9418,-20.260029,-10.759922,3.6687486,-6.454823
-11.206186,-3.3936207,33.16811,2.0131998,4.204309,-7.9265065
-0.28115666,-25.0373,15.760326,6.379536,-1.5042114,8.2389555
29.211578,-33.2046,-96.13165,13.195675,-12.761973,1.5775131
-13.099507,-12.464811,-29.461628,-7.19685,-6.6803784,1.1922212
32.078182,-66.274605,-27.870401,-13.904564,2.424911,-6.3134117
2.1948166,31.364521,44.13322,2.097955,-13.746049,-2.4998925
-2.8253253,-20.335403,7.4327054,3.3080432,-3.7900019,8.921883
10.782059,-21.612572,34.6385,4.9872622,2.0194612,2.1781287
-4.491926,3.723232,6.4995046,-2.6663482,-4.275625,-1.2461284
11.433505,-19.644476,-22.217957,-11.675582,-1.7908515,-4.4710965
-4.791029,-22.676182,40.59244,3.3483593,-21.815035,-1.4234269
-4.1437707,-15.21237,-3.1716864,-0.9781192,-9.078107,5.96248
4.743771,-29.645876,17.930017,6.544923,11.997651,0.32771957
2.6368906,-0.7495517,-1.43689,-0.7240067,-6.2055974,-2.442778
7.652845,-13.583456,-11.380264,-11.362522,-0.12125318,-2.2986183
6.7854466,-20.670399,38.510685,-0.15912572,-17.747404,-2.540972
-10.846665,-14.824135,-9.571889,1.8023049,3.9654677,6.7190146
-5.7673006,-54.28956,8.936594,6.499873,16.17386,1.6062229
14.850455,-5.4699926,-49.966923,4.8539453,-2.0949006,-0.4472929
7.740183,-9.61496,-12.595221,-8.693578,-2.950545,-2.350693
32.5053,-49.089954,9.740582,-3.9746304,-4.287537,-7.5291505
-25.655247,6.55095,16.591234,5.044071,17.607367,-5.903686
-3.6053855,-31.75874,11.489737,4.109017,2.0930681,6.574702
56.953365,-33.132217,-34.786854,5.8653555,3.6983747,2.9713137
-0.67417777,-13.152149,-4.651647,-4.276389,-4.056026,-0.90573376
39.750168,-51.92425,-7.893922,-9.525705,3.3159842,-5.7859454
-19.674984,75.25786,45.4738,3.2028248,-9.197833,-3.0047576
-3.6460636,-18.771095,9.137591,1.8093296,-7.146913,8.411825
9.719048,-15.214165,16.930416,4.567152,-5.64316,-0.07101099
-2.3264217,-2.120041,6.0137615,-3.2988806,-6.2920322,-2.0154905
3.3284163,-15.779469,-21.041286,-12.142574,1.963263,-0.6328378
26.05724,-18.757338,34.573895,0.4421007,-14.427754,-2.2437947
-11.114063,-12.046665,-4.618148,2.8328042,13.517286,7.5102143
-15.18904,-52.83173,17.461624,4.9840555,9.157822,0.95292175
16.457834,-23.490938,10.390832,2.9255002,-3.4221191,-1.6598247
6.114858,-9.116056,-16.977674,-8.061962,-4.2534823,-2.286554
26.495726,-44.09015,4.211368,-3.9903598,-8.307218,-8.171456
-31.390842,43.911884,18.330217,4.628084,15.292714,-9.469201
