Accelerometer X,Accelemeter Y,Accelerometer Z,Gyro X,Gyro Y,Gyro Z
0.03350815572,0.1627738564,0.2739315074,0.2479670048,-0.1377069056,-0.1870373636
-0.04269238284,0.1046243037,0.07068447855,0.208146885,-0.0998442024,-0.1688684821
-0.1167598549,0.06963993794,-0.09282733678,0.1646079719,-0.03115162812,-0.1037524343
-0.1400225109,0.1949972331,-0.2265285357,-0.0002355754841,0.1924042255,0.0949396193
0.2014117032,0.6871754778,-0.07141337735,-0.08018188179,0.4232111275,0.2856847346
0.08448306761,0.349534007,-0.2334352464,-0.03594011813,0.5514825583,0.6282442212
0.3370672511,0.6434373123,-0.4507113851,-0.00193401007,0.6827453375,0.7828899026
0.2531439363,0.4150035274,-0.53411506,0.02432156354,0.7565940022,0.7453936338
-0.5540742175,-0.05300882887,-0.6519084957,0.06911365688,0.7920865417,0.5507830977
-1.132995803,-0.188998431,-0.7560235347,0.1509312987,0.7469619513,0.280470103
-1.371083917,-0.3362953169,-0.874191649,0.2924510837,0.6867644787,0.01119172852
-1.493895327,-0.3702832189,-1.126699845,0.4868948758,0.5936813951,-0.2044284344
-1.692660242,-0.2954664629,-1.261157999,0.6805682182,0.4077146053,-0.3646420538
-1.79518012,-0.1881543814,-1.147584227,0.8305315971,0.1578163505,-0.5127587914
-1.817062574,-0.01549976695,-0.8903817363,0.9264591932,-0.1605701447,-0.692383945
-1.894701402,0.2465980948,-0.5127987157,0.989583075,-0.4220826924,-0.8422147036
-1.621352224,0.1932353379,-0.4028939874,1.018419981,-0.6361804008,-0.9542527795
-1.546217342,0.1015755836,-0.5813467668,0.9970175028,-0.7237811089,-1.050901055
-1.78173071,0.4690414071,-0.6086217272,0.9847313166,-0.8199393153,-1.138447404
-2.351628301,1.077330834,-0.9776175367,1.039222598,-1.105163574,-1.245542645
-3.523194584,2.297327678,-1.722575488,1.217402101,-1.565363646,-1.307183981
-4.719831304,3.644709086,-2.488236619,1.518812537,-1.743029833,-1.313937187
-4.565984266,3.529832999,-3.103336018,1.657015681,-1.413723826,-1.344057322
-4.116688593,2.927134232,-3.010937136,1.776901603,-1.016188502,-1.371832252
-3.980255631,2.574655258,-2.388503741,1.969636202,-1.013882041,-1.316537142
-3.999268666,2.945174916,-1.44952427,1.930975795,-1.252828598,-1.188578606
-4.077207354,3.14468948,0.05469254417,1.743863702,-1.538158417,-0.9520152807
-3.933758083,3.242581407,1.21114806,1.540506005,-1.825033307,-0.5573891401
-3.811889945,3.633741118,2.184172424,1.405985951,-1.938208222,0.02414534613
-3.617482641,3.947492594,2.913375172,1.200954199,-1.672036171,0.7234059572
-1.288206458,2.994086539,4.127898261,0.6674751043,-1.891488433,1.379647136
3.985262061,1.233197395,5.848236199,0.006705154665,-2.267159462,1.613290071
2.646171219,2.823025039,6.659294223,-0.4728727937,-2.786700249,1.659342647
-2.570264914,6.654690529,6.413181866,-0.7591155171,-3.538442135,1.744167805
-3.305094854,8.773073845,5.322162406,-0.8861789107,-4.262420177,1.788738966
-2.621176186,9.599172202,4.632160035,-1.005514026,-4.658460617,1.828070641
-1.643294738,9.836308641,4.478227364,-1.382935882,-4.811724663,1.854824066
-0.6946072353,10.34177044,5.137115051,-1.913083673,-5.230135918,2.034380436
0.9462108833,11.82380348,5.952566926,-2.569500208,-5.717298508,2.498701811
2.433055415,13.02788701,6.392507327,-3.143287659,-6.012878418,3.09038496
3.478170617,13.91658123,5.920487781,-3.539908409,-6.126552105,3.677990198
4.057779015,14.38707692,4.897634095,-3.820973396,-6.033207417,4.108786583
4.186156973,14.75527662,4.569045115,-4.05864048,-5.944930553,4.395968914
4.398018686,14.48172271,3.733524265,-4.284762859,-5.966099739,4.768085957
3.873139072,14.530798,2.922383823,-4.31543541,-5.864106178,5.313236713
4.236518795,14.71228503,0.3614075463,-4.120085716,-5.544026852,5.888855457
4.232603667,15.34188759,-2.684263049,-3.842060089,-5.475021362,6.425506592
2.816822677,15.85615111,-5.614563052,-3.435666561,-5.435327053,6.882320404
1.025247303,14.96304726,-9.153397688,-2.915908813,-5.124101162,7.220239639
-0.7882692693,13.17218676,-12.52403498,-2.428275824,-4.452798843,7.467560768
-2.628032043,11.64735152,-14.89515037,-2.09540987,-3.494524002,7.680922985
-4.656313064,9.988663102,-16.47831388,-1.926627159,-2.372844458,7.807386398
-6.757238464,7.961489751,-17.64689822,-1.835248351,-1.219346285,7.849573135
-9.484417111,5.348562338,-18.78834321,-1.718971372,-0.1831819117,7.695439816
-12.99631113,2.026641436,-20.15759743,-1.517467856,0.8632574677,7.207995892
-16.64844131,-1.323216104,-21.51527344,-1.2132622,1.876672029,6.432482719
-20.00357825,-4.345933694,-22.21496017,-0.8274228573,2.782307148,5.454289436
