bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
-0.029012974,-9.9960165,0.3717848,0.16258119,0.032755915,-0.3091839
-2.2351954,-7.758428,1.4018949,0.18708155,-0.07802832,-0.41890287
-2.446063,-7.329814,1.1934203,0.21158192,-0.1643122,-0.33048853
-1.3154542,-8.566006,0.23509483,0.17110306,-0.072702155,-0.11970556
-0.5703891,-10.714761,1.0328021,0.10612384,-0.0045272405,0.08055825
1.1353943,-12.518351,1.0328021,0.08055825,-0.17176883,0.11677617
0.97477615,-12.734004,-0.24855445,0.09866721,-0.1579208,-0.19626918
-0.1893321,-11.900404,-0.67028946,0.08162348,0.080691405,-0.38268498
-2.3814569,-9.25813,-0.37806597,0.18495108,0.61956614,-0.4679036
-2.922833,-8.472386,0.12981063,0.20306005,0.80598193,-0.4647079
-1.4374882,-8.76461,0.80997044,0.26910448,0.9880036,-0.4061201
-0.07686943,-8.814859,0.8772686,0.29253963,0.83900416,-0.24100897
0.30897322,-9.756435,0.6113662,0.30319196,0.9581771,-0.07390054
-0.23988047,-9.579067,0.47228336,0.34686652,0.8571131,-0.021704122
0.4214359,-9.452248,-0.0212363,0.46723783,0.82302564,0.050731722
0.54346985,-9.643972,0.10827523,0.4885425,0.83580846,0.07416685
0.22492532,-9.861719,-0.016450657,0.48747727,0.83261275,0.06564499
-0.20608185,-9.619745,-0.4139583,0.45232457,0.8740237,0.08801488
-0.23988047,-9.284451,-0.03798606,0.42675897,0.82941705,0.1497984
0.12921242,-9.250952,0.18723837,0.45552027,0.77828586,0.18921201
0.16749759,-9.440284,0.17048861,0.46404213,0.7793511,0.20838621
-0.13908282,-9.64158,0.1680958,0.48641202,0.8686975,0.22010377
0.040677983,-9.437891,-0.023629123,0.51730376,0.9006545,0.23821273
0.60837513,-9.931411,-0.08344969,0.5023905,1.0476567,0.20625575
0.81894356,-10.444073,-0.38285163,0.440607,1.2010503,0.12316757
1.5113666,-10.9325075,-0.24855445,0.2754959,1.3043778,-0.011051793
2.0599213,-12.472887,0.9514461,0.07523208,1.3427262,-0.18348639
0.7495517,-12.863516,-0.3684947,-0.015312725,1.2053112,-0.38801113
0.7304091,-14.164015,-2.0045872,-0.38907635,1.1488538,-0.43381613
0.8742776,-15.333207,-3.7510486,-0.76284,1.0764179,-0.53820896
0.97956175,-15.452848,-2.481357,-1.5584359,1.2372682,-0.5733617
-0.026620151,-13.859827,-4.54397,-2.4786642,1.4204882,-0.66603696
